AST Analysis Report for prettier
Generated on: 2025-07-14T02:07:53.444Z
Repository: sample-repos/prettier
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/prettier

📁 Found 5046 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 5046
   Successfully parsed: 5045
   Failed to parse: 1
   Total file size: 3.0 MB

🌳 NODE STATISTICS:
   Total nodes: 297,480
   Average nodes per file: 59
   Average file size: 632.0 B

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                          5045 files (100.0%) -         5,045 total ( 1.70%)
   Identifier                       3513 files ( 69.6%) -       103,850 total (34.91%)
   Literal                          2960 files ( 58.7%) -        29,562 total ( 9.94%)
   ExpressionStatement              2564 files ( 50.8%) -         9,225 total ( 3.10%)
   CallExpression                   2469 files ( 48.9%) -        17,086 total ( 5.74%)
   ArrayExpression                  1850 files ( 36.7%) -         5,345 total ( 1.80%)
   MetaProperty                     1348 files ( 26.7%) -         1,676 total ( 0.56%)
   TemplateLiteral                        1,187 ( 0.40%) in    321 files (  6.4%)
   ObjectPattern                          1,030 ( 0.35%) in    347 files (  6.9%)
   FunctionExpression                       955 ( 0.32%) in    310 files (  6.1%)
   ImportDefaultSpecifier                   855 ( 0.29%) in    373 files (  7.4%)
   JSXIdentifier                            851 ( 0.29%) in     26 files (  0.5%)
   NewExpression                            828 ( 0.28%) in    312 files (  6.2%)
   ChainExpression                          812 ( 0.27%) in    141 files (  2.8%)
   ClassBody                                770 ( 0.26%) in    359 files (  7.1%)
   AwaitExpression                          766 ( 0.26%) in    184 files (  3.6%)
   ExportNamedDeclaration                   744 ( 0.25%) in    334 files (  6.6%)
   ExportSpecifier                          710 ( 0.24%) in    171 files (  3.4%)
   TSStringKeyword                          691 ( 0.23%) in    183 files (  3.6%)
   ClassDeclaration                         678 ( 0.23%) in    332 files (  6.6%)
   TSPropertySignature                      647 ( 0.22%) in     83 files (  1.6%)
   TSTypeParameterInstantiation             643 ( 0.22%) in    126 files (  2.5%)
   ThisExpression                           643 ( 0.22%) in    112 files (  2.2%)
   MethodDefinition                         642 ( 0.22%) in    177 files (  3.5%)
   TSNumberKeyword                          597 ( 0.20%) in    138 files (  2.7%)
   SpreadElement                            537 ( 0.18%) in    196 files (  3.9%)
   TaggedTemplateExpression                 483 ( 0.16%) in    120 files (  2.4%)
   TSTypeAliasDeclaration                   482 ( 0.16%) in    112 files (  2.2%)
   TSTypeParameter                          482 ( 0.16%) in     92 files (  1.8%)
   TSUnionType                              472 ( 0.16%) in     68 files (  1.3%)
   JSXText                                  423 ( 0.14%) in     19 files (  0.4%)
   TSLiteralType                            408 ( 0.14%) in     59 files (  1.2%)
   PropertyDefinition                       374 ( 0.13%) in    144 files (  2.9%)
   JSXAttribute                             347 ( 0.12%) in     18 files (  0.4%)
   ExportDefaultDeclaration                 339 ( 0.11%) in    336 files (  6.7%)
   TSTypeParameterDeclaration               328 ( 0.11%) in     94 files (  1.9%)
   TSTypeLiteral                            306 ( 0.10%) in     90 files (  1.8%)
   JSXExpressionContainer                   304 ( 0.10%) in     19 files (  0.4%)
   TSParenthesizedType                      302 ( 0.10%) in     37 files (  0.7%)
   JSXElement                               289 ( 0.10%) in     26 files (  0.5%)
   JSXOpeningElement                        289 ( 0.10%) in     26 files (  0.5%)
   TSNonNullExpression                      285 ( 0.10%) in     17 files (  0.3%)
   ForOfStatement                           254 ( 0.09%) in    124 files (  2.5%)
   AssignmentPattern                        251 ( 0.08%) in    102 files (  2.0%)
   TSAnyKeyword                             250 ( 0.08%) in     90 files (  1.8%)
   TSQualifiedName                          228 ( 0.08%) in     45 files (  0.9%)
   Decorator                                226 ( 0.08%) in     57 files (  1.1%)
   JSXClosingElement                        212 ( 0.07%) in     18 files (  0.4%)
   TSInterfaceDeclaration                   210 ( 0.07%) in     72 files (  1.4%)
   TSInterfaceBody                          210 ( 0.07%) in     72 files (  1.4%)
   ThrowStatement                           208 ( 0.07%) in    123 files (  2.4%)
   BreakStatement                           193 ( 0.06%) in     42 files (  0.8%)
   UpdateExpression                         183 ( 0.06%) in     82 files (  1.6%)
   TSIntersectionType                       178 ( 0.06%) in     29 files (  0.6%)
   TSArrayType                              170 ( 0.06%) in     66 files (  1.3%)
   ArrayPattern                             170 ( 0.06%) in    110 files (  2.2%)
   PrivateIdentifier                        166 ( 0.06%) in     31 files (  0.6%)
   ContinueStatement                        163 ( 0.05%) in     44 files (  0.9%)
   TSFunctionType                           161 ( 0.05%) in     46 files (  0.9%)
   TSBooleanKeyword                         160 ( 0.05%) in     45 files (  0.9%)
   EmptyStatement                           155 ( 0.05%) in     44 files (  0.9%)
   ForStatement                             149 ( 0.05%) in     68 files (  1.3%)
   TSEmptyBodyFunctionExpression            136 ( 0.05%) in     37 files (  0.7%)
   TSVoidKeyword                            133 ( 0.04%) in     50 files (  1.0%)
   SwitchStatement                          132 ( 0.04%) in     68 files (  1.3%)
   TSAsExpression                           127 ( 0.04%) in     40 files (  0.8%)
   TSModuleDeclaration                      126 ( 0.04%) in     40 files (  0.8%)
   TSModuleBlock                            125 ( 0.04%) in     39 files (  0.8%)
   TSUndefinedKeyword                       121 ( 0.04%) in     16 files (  0.3%)
   TSConditionalType                        118 ( 0.04%) in     17 files (  0.3%)
   TryStatement                             111 ( 0.04%) in     71 files (  1.4%)
   TSClassImplements                        105 ( 0.04%) in     12 files (  0.2%)
   TSDeclareFunction                        104 ( 0.03%) in     25 files (  0.5%)
   CatchClause                              104 ( 0.03%) in     67 files (  1.3%)
   RestElement                              100 ( 0.03%) in     49 files (  1.0%)
   TSSatisfiesExpression                     93 ( 0.03%) in     17 files (  0.3%)
   ClassExpression                           92 ( 0.03%) in     41 files (  0.8%)
   TSTupleType                               91 ( 0.03%) in     36 files (  0.7%)
   TSTypeAssertion                           83 ( 0.03%) in     17 files (  0.3%)
   ImportExpression                          82 ( 0.03%) in     45 files (  0.9%)
   TSInterfaceHeritage                       81 ( 0.03%) in     14 files (  0.3%)
   YieldExpression                           77 ( 0.03%) in     28 files (  0.6%)
   ImportNamespaceSpecifier                  76 ( 0.03%) in     44 files (  0.9%)
   TSMappedType                              76 ( 0.03%) in     18 files (  0.4%)
   TSTypeQuery                               76 ( 0.03%) in     23 files (  0.5%)
   TSTypeOperator                            67 ( 0.02%) in     26 files (  0.5%)
   TSIndexedAccessType                       65 ( 0.02%) in     18 files (  0.4%)
   ExportAllDeclaration                      64 ( 0.02%) in     50 files (  1.0%)
   TSMethodSignature                         64 ( 0.02%) in     26 files (  0.5%)
   ForInStatement                            64 ( 0.02%) in     20 files (  0.4%)
   TSNeverKeyword                            62 ( 0.02%) in     16 files (  0.3%)
   TSParameterProperty                       60 ( 0.02%) in     24 files (  0.5%)
   TSCallSignatureDeclaration                60 ( 0.02%) in     13 files (  0.3%)
   TSAbstractMethodDefinition                60 ( 0.02%) in     22 files (  0.4%)
   TSUnknownKeyword                          56 ( 0.02%) in     22 files (  0.4%)
   TSConstructSignatureDeclaration            53 ( 0.02%) in     12 files (  0.2%)
   WhileStatement                            52 ( 0.02%) in     29 files (  0.6%)
   ImportAttribute                           52 ( 0.02%) in     24 files (  0.5%)
   SequenceExpression                        48 ( 0.02%) in     27 files (  0.5%)
   TSInferType                               45 ( 0.02%) in      9 files (  0.2%)
   TSNullKeyword                             44 ( 0.01%) in     11 files (  0.2%)
   Super                                     37 ( 0.01%) in     22 files (  0.4%)
   TSImportType                              36 ( 0.01%) in      7 files (  0.1%)
   AccessorProperty                          32 ( 0.01%) in     16 files (  0.3%)
   TSImportEqualsDeclaration                 30 ( 0.01%) in      9 files (  0.2%)
   TSIndexSignature                          28 ( 0.01%) in     14 files (  0.3%)
   TSEnumMember                              28 ( 0.01%) in      7 files (  0.1%)
   Hashbang                                  26 ( 0.01%) in     26 files (  0.5%)
   TSTypePredicate                           25 ( 0.01%) in      6 files (  0.1%)
   LabeledStatement                          21 ( 0.01%) in     10 files (  0.2%)
   TSConstructorType                         21 ( 0.01%) in     14 files (  0.3%)
   TSObjectKeyword                           20 ( 0.01%) in      8 files (  0.2%)
   DoWhileStatement                          17 ( 0.01%) in      9 files (  0.2%)
   TSEnumDeclaration                         17 ( 0.01%) in     11 files (  0.2%)
   TSEnumBody                                17 ( 0.01%) in     11 files (  0.2%)
   TSAbstractPropertyDefinition              17 ( 0.01%) in      7 files (  0.1%)
   TSInstantiationExpression                 17 ( 0.01%) in      3 files (  0.1%)
   JSXSpreadAttribute                        15 ( 0.01%) in      6 files (  0.1%)
   TSRestType                                13 ( 0.00%) in      7 files (  0.1%)
   TSNamedTupleMember                        12 ( 0.00%) in      1 files (  0.0%)
   StaticBlock                               12 ( 0.00%) in      6 files (  0.1%)
   TSSymbolKeyword                           11 ( 0.00%) in      6 files (  0.1%)
   TSThisType                                 9 ( 0.00%) in      7 files (  0.1%)
   TSExternalModuleReference                  9 ( 0.00%) in      4 files (  0.1%)
   TSTemplateLiteralType                      8 ( 0.00%) in      3 files (  0.1%)
   JSXFragment                                5 ( 0.00%) in      4 files (  0.1%)
   JSXOpeningFragment                         5 ( 0.00%) in      4 files (  0.1%)
   JSXClosingFragment                         5 ( 0.00%) in      4 files (  0.1%)
   TSAbstractAccessorProperty                 5 ( 0.00%) in      3 files (  0.1%)
   WithStatement                              4 ( 0.00%) in      3 files (  0.1%)
   JSXMemberExpression                        3 ( 0.00%) in      1 files (  0.0%)
   TSOptionalType                             3 ( 0.00%) in      2 files (  0.0%)
   TSExportAssignment                         2 ( 0.00%) in      2 files (  0.0%)
   TSBigIntKeyword                            2 ( 0.00%) in      2 files (  0.0%)
   JSXEmptyExpression                         1 ( 0.00%) in      1 files (  0.0%)
   TSIntrinsicKeyword                         1 ( 0.00%) in      1 files (  0.0%)
   TSNamespaceExportDeclaration               1 ( 0.00%) in      1 files (  0.0%)

📁 FILE EXAMPLES BY NODE TYPE:

   Identifier:
     📄 Files WITH Identifier (showing 10):
       • knip.config.js
       • jest.config.js
       • eslint.config.js
       • src/standalone.js
       • src/standalone.d.ts
       • src/index.js
       • src/index.d.ts
       • src/index.cjs
       • scripts/sync-flow-tests.cjs
       • scripts/prepare-test-for-legacy-nodejs.js
     📄 Files WITHOUT Identifier (showing 10):
       • standalone.js
       • index.js
       • bin/prettier.js
       • src/plugins/postcss.js
       • src/plugins/markdown.js
       • src/plugins/html.js
       • src/plugins/graphql.js
       • src/plugins/glimmer.js
       • src/experimental-cli/worker.js
       • src/experimental-cli/index.js

   Literal:
     📄 Files WITH Literal (showing 10):
       • standalone.js
       • knip.config.js
       • jest.config.js
       • index.js
       • eslint.config.js
       • src/standalone.js
       • src/standalone.d.ts
       • src/index.js
       • src/index.d.ts
       • src/index.cjs
     📄 Files WITHOUT Literal (showing 10):
       • src/utils/object-omit.js
       • src/utils/create-mockable.js
       • src/utils/create-group-id-mapper.js
       • src/language-markdown/loc.js
       • src/language-yaml/loc.js
       • src/language-html/loc.js
       • src/language-handlebars/loc.js
       • src/language-graphql/loc.js
       • website/playground/storage.js
       • src/language-js/traverse/union-visitor-keys.js

   MemberExpression:
     📄 Files WITH MemberExpression (showing 10):
       • jest.config.js
       • eslint.config.js
       • src/standalone.js
       • src/index.js
       • src/index.d.ts
       • src/index.cjs
       • scripts/sync-flow-tests.cjs
       • scripts/prepare-test-for-legacy-nodejs.js
       • scripts/lint-changelog.js
       • scripts/generate-unused-typescript-specifiers.js
