AST Analysis Report for babel
Generated on: 2025-07-14T01:56:13.511Z
Repository: sample-repos/babel
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/babel

📁 Found 1424 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 1424
   Successfully parsed: 1424
   Failed to parse: 0
   Total file size: 5.7 MB

🌳 NODE STATISTICS:
   Total nodes: 772,687
   Average nodes per file: 543
   Average file size: 4.1 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                        1424 files (100.0%) -    1,424 total (0.18%)
       • eslint.config.mjs
       • lib/third-party-libs.d.ts
       • lib/regexpu-core.d.ts
       • lib/libdom-minimal.d.ts
       • lib/kexec.d.ts
       • lib/globals.d.ts
       • lib/babel-plugin-dynamic-import-node.d.ts
       • lib/archived-libs.d.ts
       • test/esm/babel-runtime.js

   TSTypeAnnotation:
     📄 Files WITH TSTypeAnnotation (showing 10):
       • lib/third-party-libs.d.ts
       • lib/regexpu-core.d.ts
       • lib/kexec.d.ts
       • lib/globals.d.ts
       • lib/babel-plugin-dynamic-import-node.d.ts
       • lib/archived-libs.d.ts
       • scripts/babel-plugin-bit-decorator/types.d.ts
       • codemods/babel-plugin-codemod-optional-catch-binding/src/index.ts
       • codemods/babel-plugin-codemod-object-assign-to-object-spread/src/index.ts
       • packages/babel-standalone/src/transformScriptTags.ts
     📄 Files WITHOUT TSTypeAnnotation (showing 10):
       • yarn.config.cjs
       • jest.config.js
       • eslint.config.mjs
       • babel.config.js
       • babel-worker.cjs
       • Makefile.source.mjs
       • Makefile.mjs
       • Gulpfile.mjs
       • scripts/set-module-type.js
       • scripts/rollup-plugin-standalone-internals.js

   VariableDeclarator:
     📄 Files WITH VariableDeclarator (showing 10):
       • yarn.config.cjs
       • jest.config.js
       • eslint.config.mjs
       • babel.config.js
       • babel-worker.cjs
       • Makefile.source.mjs
       • Makefile.mjs
       • Gulpfile.mjs
       • scripts/set-module-type.js
       • scripts/rollup-plugin-standalone-internals.js
     📄 Files WITHOUT VariableDeclarator (showing 10):
       • scripts/postinstall.js
       • lib/regexpu-core.d.ts
       • lib/libdom-minimal.d.ts
       • lib/kexec.d.ts
       • lib/babel-plugin-dynamic-import-node.d.ts
       • test/esm/index.js
       • test/esm/babel-runtime.js
       • test/esm/babel-runtime-corejs3.js
       • scripts/repo-utils/babel.js
       • scripts/babel-plugin-bit-decorator/types.d.ts

   VariableDeclaration:
     📄 Files WITH VariableDeclaration (showing 10):
       • yarn.config.cjs
       • jest.config.js
