   NewExpression                     2,225 (0.40%) in 406 files (22.1%)
   TemplateLiteral                   2,214 (0.40%) in 388 files (21.2%)
   TSPropertySignature               1,878 (0.34%) in 175 files (9.5%)
   Program                           1,834 (0.33%) in 1834 files (100.0%)
   LogicalExpression                 1,707 (0.31%) in 272 files (14.8%)
   FunctionExpression                1,701 (0.31%) in 284 files (15.5%)
   AwaitExpression                   1,482 (0.27%) in 186 files (10.1%)
   ObjectPattern                     1,440 (0.26%) in 419 files (22.8%)
   UnaryExpression                   1,412 (0.26%) in 285 files (15.5%)
   TSVoidKeyword                     1,297 (0.24%) in 164 files (8.9%)
   TSAsExpression                    1,134 (0.21%) in 145 files (7.9%)
   TSNumberKeyword                   1,070 (0.19%) in 172 files (9.4%)
   MethodDefinition                  1,066 (0.19%) in 154 files (8.4%)
   ExportNamedDeclaration            1,056 (0.19%) in 236 files (12.9%)
   TSUnknownKeyword                  1,038 (0.19%) in 174 files (9.5%)
   ParenthesizedExpression             991 (0.18%) in 266 files (14.5%)
   TSQualifiedName                     968 (0.18%) in 187 files (10.2%)
   TSUnionType                         860 (0.16%) in 181 files (9.9%)
   ImportDefaultSpecifier              855 (0.16%) in 520 files (28.4%)
   TSBooleanKeyword                    752 (0.14%) in 165 files (9.0%)
   ConditionalExpression               742 (0.13%) in 210 files (11.5%)
   SpreadElement                       710 (0.13%) in 196 files (10.7%)
   TSFunctionType                      640 (0.12%) in 126 files (6.9%)
   TSLiteralType                       637 (0.12%) in 140 files (7.6%)
   ThrowStatement                      622 (0.11%) in 202 files (11.0%)
   FunctionDeclaration                 612 (0.11%) in 284 files (15.5%)
   TSTypeAliasDeclaration              555 (0.10%) in 141 files (7.7%)
   PropertyDefinition                  526 (0.10%) in 94 files (5.1%)
   TSTypeLiteral                       522 (0.09%) in 170 files (9.3%)
   TSTypeQuery                         516 (0.09%) in 104 files (5.7%)
   ForOfStatement                      418 (0.08%) in 154 files (8.4%)
   TSAnyKeyword                        386 (0.07%) in 112 files (6.1%)
   SwitchCase                          369 (0.07%) in 42 files (2.3%)
   ImportNamespaceSpecifier            346 (0.06%) in 258 files (14.1%)
   ClassBody                           309 (0.06%) in 170 files (9.3%)
   TSNullKeyword                       285 (0.05%) in 95 files (5.2%)
   ExportSpecifier                     283 (0.05%) in 42 files (2.3%)
   ExportDefaultDeclaration            274 (0.05%) in 274 files (14.9%)
   TSTypeParameter                     268 (0.05%) in 65 files (3.5%)
   ClassDeclaration                    253 (0.05%) in 157 files (8.6%)
   TSUndefinedKeyword                  236 (0.04%) in 79 files (4.3%)
   TSMethodSignature                   235 (0.04%) in 28 files (1.5%)
   TryStatement                        220 (0.04%) in 113 files (6.2%)
   TSTypeParameterDeclaration          212 (0.04%) in 65 files (3.5%)
   CatchClause                         203 (0.04%) in 109 files (5.9%)
   TSIndexedAccessType                 202 (0.04%) in 53 files (2.9%)
   BreakStatement                      187 (0.03%) in 39 files (2.1%)
   TSTupleType                         179 (0.03%) in 43 files (2.3%)
   UpdateExpression                    177 (0.03%) in 72 files (3.9%)
   RestElement                         170 (0.03%) in 76 files (4.1%)
   ArrayPattern                        162 (0.03%) in 69 files (3.8%)
   ChainExpression                     160 (0.03%) in 64 files (3.5%)
   AssignmentPattern                   154 (0.03%) in 67 files (3.7%)
   TSNonNullExpression                 130 (0.02%) in 57 files (3.1%)
   TSImportType                        113 (0.02%) in 44 files (2.4%)
   TSInterfaceDeclaration              107 (0.02%) in 56 files (3.1%)
   TSInterfaceBody                     107 (0.02%) in 56 files (3.1%)
   TSNamedTupleMember                   90 (0.02%) in 10 files (0.5%)
   TaggedTemplateExpression             88 (0.02%) in 27 files (1.5%)
   TSIntersectionType                   75 (0.01%) in 39 files (2.1%)
   TSTypeOperator                       75 (0.01%) in 31 files (1.7%)
   ForStatement                         69 (0.01%) in 38 files (2.1%)
   Super                                66 (0.01%) in 43 files (2.3%)
   WhileStatement                       64 (0.01%) in 26 files (1.4%)
   ClassExpression                      56 (0.01%) in 18 files (1.0%)
   PrivateIdentifier                    53 (0.01%) in 7 files (0.4%)
   SwitchStatement                      48 (0.01%) in 42 files (2.3%)
   TSTypePredicate                      46 (0.01%) in 33 files (1.8%)
   TSObjectKeyword                      45 (0.01%) in 16 files (0.9%)
   ImportExpression                     43 (0.01%) in 9 files (0.5%)
   TSCallSignatureDeclaration           41 (0.01%) in 11 files (0.6%)
   TSInterfaceHeritage                  39 (0.01%) in 20 files (1.1%)
   TSConditionalType                    35 (0.01%) in 8 files (0.4%)
   TSParenthesizedType                  33 (0.01%) in 21 files (1.1%)
   MetaProperty                         30 (0.01%) in 15 files (0.8%)
   TSIndexSignature                     28 (0.01%) in 20 files (1.1%)
   TSSymbolKeyword                      28 (0.01%) in 12 files (0.7%)
   TSNeverKeyword                       26 (0.00%) in 13 files (0.7%)
   TSParameterProperty                  25 (0.00%) in 14 files (0.8%)
   TSEmptyBodyFunctionExpression        24 (0.00%) in 4 files (0.2%)
   TSClassImplements                    23 (0.00%) in 20 files (1.1%)
   ContinueStatement                    22 (0.00%) in 14 files (0.8%)
   TSModuleDeclaration                  22 (0.00%) in 17 files (0.9%)
   TSModuleBlock                        22 (0.00%) in 17 files (0.9%)
   TSInferType                          22 (0.00%) in 6 files (0.3%)
   TSDeclareFunction                    20 (0.00%) in 7 files (0.4%)
   YieldExpression                      14 (0.00%) in 8 files (0.4%)
   ForInStatement                       14 (0.00%) in 13 files (0.7%)
   JSXIdentifier                        13 (0.00%) in 2 files (0.1%)
   TSBigIntKeyword                      13 (0.00%) in 3 files (0.2%)
   TSThisType                           13 (0.00%) in 1 files (0.1%)
   SequenceExpression                   13 (0.00%) in 5 files (0.3%)
   ExportAllDeclaration                 11 (0.00%) in 9 files (0.5%)
   TSConstructorType                    11 (0.00%) in 7 files (0.4%)
   TSMappedType                         11 (0.00%) in 6 files (0.3%)
   TSEnumMember                         10 (0.00%) in 2 files (0.1%)
   TSRestType                           10 (0.00%) in 6 files (0.3%)
   JSXAttribute                          9 (0.00%) in 2 files (0.1%)
   JSXExpressionContainer                7 (0.00%) in 2 files (0.1%)
   Hashbang                              5 (0.00%) in 5 files (0.3%)
   TSAbstractMethodDefinition            5 (0.00%) in 2 files (0.1%)
   Decorator                             4 (0.00%) in 4 files (0.2%)
   DoWhileStatement                      4 (0.00%) in 3 files (0.2%)
   JSXElement                            3 (0.00%) in 2 files (0.1%)
   JSXOpeningElement                     3 (0.00%) in 2 files (0.1%)
   JSXText                               3 (0.00%) in 1 files (0.1%)
   TSEnumDeclaration                     3 (0.00%) in 2 files (0.1%)
   TSEnumBody                            3 (0.00%) in 2 files (0.1%)
   JSXClosingElement                     1 (0.00%) in 1 files (0.1%)
   TSOptionalType                        1 (0.00%) in 1 files (0.1%)
   TSAbstractPropertyDefinition          1 (0.00%) in 1 files (0.1%)
   TSConstructSignatureDeclaration        1 (0.00%) in 1 files (0.1%)
   TSSatisfiesExpression                 1 (0.00%) in 1 files (0.1%)
   ImportAttribute                       1 (0.00%) in 1 files (0.1%)

📁 FILE EXAMPLES BY NODE TYPE:

   Identifier:
     📄 Files WITH Identifier (showing 10):
       • yarn.config.cjs
       • jest.config.ts.mjs
       • jest.config.mjs
       • jest.config.ci.mjs
       • eslint.config.mjs
       • babel.config.js
       • website/i18n.js
       • website/fetchSupporters.js
       • website/docusaurus.config.js
       • website/babel.config.js
     📄 Files WITHOUT Identifier (showing 10):
       • examples/snapshot/Link.js
       • examples/snapshot/Clock.js
       • examples/react-testing-library/CheckboxWithLabel.js
       • examples/react-native/index.js
       • examples/react-native/Intro.js
