AST Analysis Report for TypeScript
Generated on: 2025-07-14T01:57:25.419Z
Repository: sample-repos/TypeScript
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/TypeScript

📁 Found 37995 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 37995
   Successfully parsed: 37994
   Failed to parse: 1
   Total file size: 136.4 MB

🌳 NODE STATISTICS:
   Total nodes: 4,243,595
   Average nodes per file: 112
   Average file size: 3.7 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                        37994 files (100.0%) -   37,994 total (0.90%)
   Identifier                     23628 files ( 62.2%) - 1,454,170 total (34.27%)
   Literal                        17545 files ( 46.2%) -  340,979 total (8.04%)
   ExpressionStatement            14299 files ( 37.6%) -  137,206 total (3.23%)
   MemberExpression               13514 files ( 35.6%) -  257,153 total (6.06%)
   CallExpression                 13484 files ( 35.5%) -  149,704 total (3.53%)
   VariableDeclaration            12494 files ( 32.9%) -  100,104 total (2.36%)
   VariableDeclarator             12494 files ( 32.9%) -  103,050 total (2.43%)
   BlockStatement                 10143 files ( 26.7%) -   95,724 total (2.26%)
   TSTypeAnnotation               8570 files ( 22.6%) -  214,270 total (5.05%)
   TSNullKeyword                   239 files (  0.6%) -    2,244 total (0.05%)
   TSTypePredicate                 234 files (  0.6%) -    1,535 total (0.04%)
   TSClassImplements               234 files (  0.6%) -      469 total (0.01%)
   TSTypeAssertion                 229 files (  0.6%) -      759 total (0.02%)
   ExportAllDeclaration            198 files (  0.5%) -      756 total (0.02%)
   TSObjectKeyword                 185 files (  0.5%) -      428 total (0.01%)
   JSXAttribute                    183 files (  0.5%) -      786 total (0.02%)
   LabeledStatement                176 files (  0.5%) -      819 total (0.02%)
   JSXClosingElement               176 files (  0.5%) -      534 total (0.01%)
   ImportExpression                166 files (  0.4%) -      494 total (0.01%)
   TaggedTemplateExpression        165 files (  0.4%) -      920 total (0.02%)
   JSXExpressionContainer          152 files (  0.4%) -      540 total (0.01%)
   TSSymbolKeyword                 142 files (  0.4%) -      335 total (0.01%)
   TSConstructorType               136 files (  0.4%) -      789 total (0.02%)
   JSXText                         122 files (  0.3%) -      509 total (0.01%)
   TSInferType                     111 files (  0.3%) -      530 total (0.01%)
   StaticBlock                     107 files (  0.3%) -      297 total (0.01%)
   DoWhileStatement                 97 files (  0.3%) -      391 total (0.01%)
   TSThisType                       91 files (  0.2%) -      751 total (0.02%)
   JSXSpreadAttribute               83 files (  0.2%) -      224 total (0.01%)
   TSRestType                       71 files (  0.2%) -      444 total (0.01%)
   TSTemplateLiteralType            60 files (  0.2%) -      439 total (0.01%)
   AccessorProperty                 56 files (  0.1%) -      196 total (0.00%)
   TSAbstractMethodDefinition       49 files (  0.1%) -      135 total (0.00%)
   TSImportType                     44 files (  0.1%) -       92 total (0.00%)
   TSNamespaceExportDeclaration     40 files (  0.1%) -       46 total (0.00%)
   TSNamedTupleMember               38 files (  0.1%) -      311 total (0.01%)
   TSSatisfiesExpression            37 files (  0.1%) -       93 total (0.00%)
   TSBigIntKeyword                  33 files (  0.1%) -      193 total (0.00%)
   WithStatement                    30 files (  0.1%) -       43 total (0.00%)
   TSOptionalType                   26 files (  0.1%) -       89 total (0.00%)
   JSXFragment                      25 files (  0.1%) -       64 total (0.00%)
   JSXOpeningFragment               25 files (  0.1%) -       64 total (0.00%)
   JSXClosingFragment               25 files (  0.1%) -       64 total (0.00%)
   DebuggerStatement                22 files (  0.1%) -       34 total (0.00%)
   TSAbstractPropertyDefinition     19 files (  0.1%) -       37 total (0.00%)
   MetaProperty                     17 files (  0.0%) -      152 total (0.00%)
   ImportAttribute                  15 files (  0.0%) -       38 total (0.00%)
   JSXMemberExpression              14 files (  0.0%) -       30 total (0.00%)
   TSInstantiationExpression         8 files (  0.0%) -       57 total (0.00%)
   JSXEmptyExpression                8 files (  0.0%) -       26 total (0.00%)
   JSXNamespacedName                 7 files (  0.0%) -       39 total (0.00%)
   TSIntrinsicKeyword                4 files (  0.0%) -        9 total (0.00%)
   TSJSDocNullableType               4 files (  0.0%) -       32 total (0.00%)
   JSXSpreadChild                    3 files (  0.0%) -        6 total (0.00%)
   TSAbstractAccessorProperty        3 files (  0.0%) -        5 total (0.00%)
   Hashbang                          1 files (  0.0%) -        1 total (0.00%)
   TSJSDocNonNullableType            1 files (  0.0%) -       12 total (0.00%)
   TSJSDocUnknownType                1 files (  0.0%) -        4 total (0.00%)

📝 ALL NODE TYPES (BY TOTAL COUNT):
   Identifier                     1,454,170 (34.27%) in 23628 files (62.2%)
   Literal                         340,979 (8.04%) in 17545 files (46.2%)
   MemberExpression                257,153 (6.06%) in 13514 files (35.6%)
   TSTypeAnnotation                214,270 (5.05%) in 8570 files (22.6%)
   TSTypeReference                 151,226 (3.56%) in 5771 files (15.2%)
   CallExpression                  149,704 (3.53%) in 13484 files (35.5%)
   ExpressionStatement             137,206 (3.23%) in 14299 files (37.6%)
   VariableDeclarator              103,050 (2.43%) in 12494 files (32.9%)
   VariableDeclaration             100,104 (2.36%) in 12494 files (32.9%)
   BlockStatement                   95,724 (2.26%) in 10143 files (26.7%)
   Property                         85,717 (2.02%) in 7886 files (20.8%)
   BinaryExpression                 79,917 (1.88%) in 2540 files (6.7%)
   AssignmentExpression             76,295 (1.80%) in 3710 files (9.8%)
   TSPropertySignature              44,629 (1.05%) in 2707 files (7.1%)
   ReturnStatement                  43,446 (1.02%) in 5504 files (14.5%)
   Program                          37,994 (0.90%) in 37994 files (100.0%)
   ObjectExpression                 37,678 (0.89%) in 8042 files (21.2%)
   TSStringKeyword                  31,060 (0.73%) in 4018 files (10.6%)
   TSLiteralType                    29,587 (0.70%) in 979 files (2.6%)
   FunctionDeclaration              28,138 (0.66%) in 5867 files (15.4%)
   IfStatement                      27,989 (0.66%) in 1461 files (3.8%)
   ExportNamedDeclaration           27,959 (0.66%) in 3802 files (10.0%)
   TSNumberKeyword                  27,781 (0.65%) in 4655 files (12.3%)
   LogicalExpression                24,950 (0.59%) in 1119 files (2.9%)
   FunctionExpression               24,288 (0.57%) in 5618 files (14.8%)
   TSTypeParameterInstantiation     23,349 (0.55%) in 2310 files (6.1%)
   ArrayExpression                  21,433 (0.51%) in 4413 files (11.6%)
   TSUnionType                      20,880 (0.49%) in 1485 files (3.9%)
   Unknown                          20,581 (0.48%) in 3264 files (8.6%)
   ImportSpecifier                  19,836 (0.47%) in 1133 files (3.0%)
   ParenthesizedExpression          19,690 (0.46%) in 3052 files (8.0%)
   TemplateElement                  19,412 (0.46%) in 3114 files (8.2%)
   UnaryExpression                  18,574 (0.44%) in 1895 files (5.0%)
   TSAsExpression                   18,491 (0.44%) in 632 files (1.7%)
   ArrowFunctionExpression          17,539 (0.41%) in 2685 files (7.1%)
   TSTypeParameter                  16,614 (0.39%) in 2469 files (6.5%)
   ThisExpression                   15,761 (0.37%) in 1663 files (4.4%)
   TSMethodSignature                15,109 (0.36%) in 941 files (2.5%)
   MethodDefinition                 14,445 (0.34%) in 3283 files (8.6%)
   TSQualifiedName                  14,386 (0.34%) in 1142 files (3.0%)
   TSArrayType                      13,981 (0.33%) in 1434 files (3.8%)
   ClassBody                        13,360 (0.31%) in 6203 files (16.3%)
   TSAnyKeyword                     12,942 (0.30%) in 2267 files (6.0%)
   TSTypeParameterDeclaration       12,569 (0.30%) in 2468 files (6.5%)
   ClassDeclaration                 12,492 (0.29%) in 6028 files (15.9%)
   TSBooleanKeyword                 12,174 (0.29%) in 1177 files (3.1%)
   TSInterfaceDeclaration           12,015 (0.28%) in 2773 files (7.3%)
   TSInterfaceBody                  12,015 (0.28%) in 2773 files (7.3%)
   TemplateLiteral                  11,803 (0.28%) in 3071 files (8.1%)
   TSTypeLiteral                    10,976 (0.26%) in 2187 files (5.8%)
   SwitchCase                       10,911 (0.26%) in 370 files (1.0%)
   TSVoidKeyword                    10,788 (0.25%) in 1490 files (3.9%)
   TSUndefinedKeyword               10,615 (0.25%) in 641 files (1.7%)
   TSFunctionType                    9,554 (0.23%) in 1297 files (3.4%)
   ConditionalExpression             9,413 (0.22%) in 928 files (2.4%)
   PropertyDefinition                9,313 (0.22%) in 3053 files (8.0%)
   NewExpression                     8,944 (0.21%) in 2894 files (7.6%)
   TSEnumMember                      7,389 (0.17%) in 549 files (1.4%)
   TSDeclareFunction                 6,875 (0.16%) in 2022 files (5.3%)
   TSTypeAliasDeclaration            6,505 (0.15%) in 1220 files (3.2%)
   TSTypeOperator                    5,530 (0.13%) in 612 files (1.6%)
   TSInterfaceHeritage               4,745 (0.11%) in 506 files (1.3%)
   ImportDeclaration                 3,880 (0.09%) in 1647 files (4.3%)
   TSModuleDeclaration               3,849 (0.09%) in 1800 files (4.7%)
   ObjectPattern                     3,848 (0.09%) in 901 files (2.4%)
   TSModuleBlock                     3,835 (0.09%) in 1789 files (4.7%)
   UpdateExpression                  3,770 (0.09%) in 645 files (1.7%)
   BreakStatement                    2,847 (0.07%) in 384 files (1.0%)
   AssignmentPattern                 2,836 (0.07%) in 571 files (1.5%)
   JSXIdentifier                     2,617 (0.06%) in 298 files (0.8%)
   TSNonNullExpression               2,585 (0.06%) in 316 files (0.8%)
   SpreadElement                     2,479 (0.06%) in 538 files (1.4%)
   TSIndexedAccessType               2,442 (0.06%) in 418 files (1.1%)
   RestElement                       2,422 (0.06%) in 761 files (2.0%)
   TSConstructSignatureDeclaration    2,369 (0.06%) in 268 files (0.7%)
   ForOfStatement                    2,357 (0.06%) in 711 files (1.9%)
   TSNullKeyword                     2,244 (0.05%) in 239 files (0.6%)
   ChainExpression                   2,228 (0.05%) in 247 files (0.7%)
   TSTypeQuery                       2,005 (0.05%) in 618 files (1.6%)
   TSTupleType                       1,972 (0.05%) in 441 files (1.2%)
   ForStatement                      1,969 (0.05%) in 530 files (1.4%)
   ArrayPattern                      1,956 (0.05%) in 619 files (1.6%)
   SequenceExpression                1,760 (0.04%) in 477 files (1.3%)
   TSParenthesizedType               1,745 (0.04%) in 373 files (1.0%)
   TSEmptyBodyFunctionExpression     1,715 (0.04%) in 400 files (1.1%)
   PrivateIdentifier                 1,694 (0.04%) in 257 files (0.7%)
   SwitchStatement                   1,626 (0.04%) in 373 files (1.0%)
   TSIntersectionType                1,621 (0.04%) in 447 files (1.2%)
   Super                             1,600 (0.04%) in 465 files (1.2%)
   TSIndexSignature                  1,544 (0.04%) in 520 files (1.4%)
   TSTypePredicate                   1,535 (0.04%) in 234 files (0.6%)
   ContinueStatement                 1,457 (0.03%) in 256 files (0.7%)
   AwaitExpression                   1,444 (0.03%) in 479 files (1.3%)
   TSCallSignatureDeclaration        1,431 (0.03%) in 411 files (1.1%)
   TSImportEqualsDeclaration         1,367 (0.03%) in 824 files (2.2%)
   ThrowStatement                    1,314 (0.03%) in 405 files (1.1%)
   TSConditionalType                 1,273 (0.03%) in 257 files (0.7%)
   TSEnumDeclaration                 1,261 (0.03%) in 582 files (1.5%)
   TSEnumBody                        1,261 (0.03%) in 582 files (1.5%)
   WhileStatement                    1,236 (0.03%) in 380 files (1.0%)
   JSXElement                        1,228 (0.03%) in 298 files (0.8%)
   JSXOpeningElement                 1,228 (0.03%) in 298 files (0.8%)
   ExportSpecifier                   1,153 (0.03%) in 372 files (1.0%)
   TSNeverKeyword                    1,095 (0.03%) in 293 files (0.8%)
   TryStatement                      1,087 (0.03%) in 336 files (0.9%)
   TSUnknownKeyword                  1,081 (0.03%) in 327 files (0.9%)
   CatchClause                       1,012 (0.02%) in 316 files (0.8%)
   Decorator                           952 (0.02%) in 310 files (0.8%)
   YieldExpression                     935 (0.02%) in 272 files (0.7%)
   TaggedTemplateExpression            920 (0.02%) in 165 files (0.4%)
   TSParameterProperty                 890 (0.02%) in 325 files (0.9%)
   TSExternalModuleReference           872 (0.02%) in 614 files (1.6%)
   ClassExpression                     868 (0.02%) in 328 files (0.9%)
   LabeledStatement                    819 (0.02%) in 176 files (0.5%)
   ImportNamespaceSpecifier            798 (0.02%) in 533 files (1.4%)
   TSConstructorType                   789 (0.02%) in 136 files (0.4%)
   JSXAttribute                        786 (0.02%) in 183 files (0.5%)
   ForInStatement                      781 (0.02%) in 356 files (0.9%)
   TSMappedType                        777 (0.02%) in 296 files (0.8%)
   TSTypeAssertion                     759 (0.02%) in 229 files (0.6%)
   ExportAllDeclaration                756 (0.02%) in 198 files (0.5%)
   TSThisType                          751 (0.02%) in 91 files (0.2%)
   ExportDefaultDeclaration            731 (0.02%) in 500 files (1.3%)
   EmptyStatement                      686 (0.02%) in 396 files (1.0%)
   JSXExpressionContainer              540 (0.01%) in 152 files (0.4%)
   JSXClosingElement                   534 (0.01%) in 176 files (0.5%)
   TSInferType                         530 (0.01%) in 111 files (0.3%)
   ImportDefaultSpecifier              526 (0.01%) in 306 files (0.8%)
   JSXText                             509 (0.01%) in 122 files (0.3%)
   ImportExpression                    494 (0.01%) in 166 files (0.4%)
   TSClassImplements                   469 (0.01%) in 234 files (0.6%)
   TSRestType                          444 (0.01%) in 71 files (0.2%)
   TSTemplateLiteralType               439 (0.01%) in 60 files (0.2%)
   TSObjectKeyword                     428 (0.01%) in 185 files (0.5%)
   TSExportAssignment                  392 (0.01%) in 294 files (0.8%)
   DoWhileStatement                    391 (0.01%) in 97 files (0.3%)
   TSSymbolKeyword                     335 (0.01%) in 142 files (0.4%)
   TSNamedTupleMember                  311 (0.01%) in 38 files (0.1%)
   StaticBlock                         297 (0.01%) in 107 files (0.3%)
   JSXSpreadAttribute                  224 (0.01%) in 83 files (0.2%)
   AccessorProperty                    196 (0.00%) in 56 files (0.1%)
   TSBigIntKeyword                     193 (0.00%) in 33 files (0.1%)
