AST Analysis Report for tailwindcss
Generated on: 2025-07-14T02:08:15.160Z
Repository: sample-repos/tailwindcss
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/tailwindcss

📁 Found 309 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 309
   Successfully parsed: 309
   Failed to parse: 0
   Total file size: 2.9 MB

🌳 NODE STATISTICS:
   Total nodes: 225,981
   Average nodes per file: 731
   Average file size: 9.6 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   TaggedTemplateExpression               2,327 ( 1.03%) in     91 files ( 29.4%)
   ReturnStatement                        2,136 ( 0.95%) in    192 files ( 62.1%)
   ImportSpecifier                        1,541 ( 0.68%) in    259 files ( 83.8%)
   TSTypeReference                        1,480 ( 0.65%) in    138 files ( 44.7%)
   AssignmentExpression                   1,322 ( 0.59%) in    150 files ( 48.5%)
   LogicalExpression                      1,297 ( 0.57%) in    132 files ( 42.7%)
   TSStringKeyword                        1,284 ( 0.57%) in    155 files ( 50.2%)
   ImportDeclaration                      1,122 ( 0.50%) in    270 files ( 87.4%)
   ObjectPattern                            799 ( 0.35%) in    119 files ( 38.5%)
   UnaryExpression                          792 ( 0.35%) in    121 files ( 39.2%)
   TSPropertySignature                      606 ( 0.27%) in     72 files ( 23.3%)
   FunctionDeclaration                      548 ( 0.24%) in    170 files ( 55.0%)
   NewExpression                            483 ( 0.21%) in    116 files ( 37.5%)
   ForOfStatement                           440 ( 0.19%) in    108 files ( 35.0%)
   TSUnionType                              440 ( 0.19%) in    101 files ( 32.7%)
   TSArrayType                              431 ( 0.19%) in     85 files ( 27.5%)
   ParenthesizedExpression                  384 ( 0.17%) in     91 files ( 29.4%)
   TSTypeParameterInstantiation             379 ( 0.17%) in     81 files ( 26.2%)
   ExportNamedDeclaration                   345 ( 0.15%) in    133 files ( 43.0%)
   Program                                  309 ( 0.14%) in    309 files (100.0%)
   ConditionalExpression                    275 ( 0.12%) in     93 files ( 30.1%)
   FunctionExpression                       263 ( 0.12%) in     41 files ( 13.3%)
   TSNullKeyword                            262 ( 0.12%) in     81 files ( 26.2%)
   ContinueStatement                        255 ( 0.11%) in     68 files ( 22.0%)
   SwitchCase                               253 ( 0.11%) in     19 files (  6.1%)
   SpreadElement                            245 ( 0.11%) in     57 files ( 18.4%)
   TSTypeLiteral                            212 ( 0.09%) in     64 files ( 20.7%)
   ArrayPattern                             201 ( 0.09%) in     75 files ( 24.3%)
   ThisExpression                           193 ( 0.09%) in     11 files (  3.6%)
   ImportDefaultSpecifier                   185 ( 0.08%) in     94 files ( 30.4%)
   ChainExpression                          181 ( 0.08%) in     59 files ( 19.1%)
   TSLiteralType                            155 ( 0.07%) in     41 files ( 13.3%)
   AssignmentPattern                        141 ( 0.06%) in     51 files ( 16.5%)
   TSBooleanKeyword                         137 ( 0.06%) in     35 files ( 11.3%)
   TSAsExpression                           133 ( 0.06%) in     55 files ( 17.8%)
   ThrowStatement                           114 ( 0.05%) in     43 files ( 13.9%)
   BreakStatement                           111 ( 0.05%) in     28 files (  9.1%)
   TSNumberKeyword                          108 ( 0.05%) in     35 files ( 11.3%)
   TSFunctionType                           106 ( 0.05%) in     41 files ( 13.3%)
   UpdateExpression                          99 ( 0.04%) in     39 files ( 12.6%)
   TSTypeAliasDeclaration                    95 ( 0.04%) in     32 files ( 10.4%)
   TSNonNullExpression                       86 ( 0.04%) in     35 files ( 11.3%)
   MethodDefinition                          81 ( 0.04%) in      9 files (  2.9%)
   TSAnyKeyword                              78 ( 0.03%) in     31 files ( 10.0%)
   TSUndefinedKeyword                        68 ( 0.03%) in     21 files (  6.8%)
   TSVoidKeyword                             66 ( 0.03%) in     24 files (  7.8%)
   ImportNamespaceSpecifier                  65 ( 0.03%) in     52 files ( 16.8%)
   ForStatement                              62 ( 0.03%) in     31 files ( 10.0%)
   TryStatement                              55 ( 0.02%) in     24 files (  7.8%)
   SwitchStatement                           53 ( 0.02%) in     19 files (  6.1%)
   CatchClause                               52 ( 0.02%) in     23 files (  7.4%)
   TSInterfaceDeclaration                    51 ( 0.02%) in     22 files (  7.1%)
   TSInterfaceBody                           51 ( 0.02%) in     22 files (  7.1%)
   TSMethodSignature                         45 ( 0.02%) in     10 files (  3.2%)
   TSTupleType                               45 ( 0.02%) in     25 files (  8.1%)
   PrivateIdentifier                         42 ( 0.02%) in      3 files (  1.0%)
   TSIndexedAccessType                       40 ( 0.02%) in     17 files (  5.5%)
   TSEnumMember                              40 ( 0.02%) in     10 files (  3.2%)
   YieldExpression                           37 ( 0.02%) in     11 files (  3.6%)
   TSTypeParameter                           34 ( 0.02%) in     19 files (  6.1%)
   JSXIdentifier                             34 ( 0.02%) in      6 files (  1.9%)
   ExportDefaultDeclaration                  33 ( 0.01%) in     33 files ( 10.7%)
   TSTypeParameterDeclaration                30 ( 0.01%) in     19 files (  6.1%)
   TSQualifiedName                           28 ( 0.01%) in     18 files (  5.8%)
   TSParenthesizedType                       27 ( 0.01%) in     15 files (  4.9%)
   PropertyDefinition                        25 ( 0.01%) in      7 files (  2.3%)
   TSUnknownKeyword                          24 ( 0.01%) in      9 files (  2.9%)
   TSSatisfiesExpression                     23 ( 0.01%) in     18 files (  5.8%)
   TSTypeQuery                               23 ( 0.01%) in     21 files (  6.8%)
   WhileStatement                            22 ( 0.01%) in     17 files (  5.5%)
   TSNamedTupleMember                        19 ( 0.01%) in      5 files (  1.6%)
   MetaProperty                              18 ( 0.01%) in     18 files (  5.8%)
   TSNeverKeyword                            17 ( 0.01%) in     10 files (  3.2%)
   TSTypeOperator                            17 ( 0.01%) in      6 files (  1.9%)
   TSTemplateLiteralType                     14 ( 0.01%) in      5 files (  1.6%)
   ImportExpression                          14 ( 0.01%) in      3 files (  1.0%)
   JSXText                                   13 ( 0.01%) in      6 files (  1.9%)
   RestElement                               12 ( 0.01%) in      6 files (  1.9%)
   ExportSpecifier                           12 ( 0.01%) in      5 files (  1.6%)
   JSXElement                                12 ( 0.01%) in      6 files (  1.9%)
   JSXOpeningElement                         12 ( 0.01%) in      6 files (  1.9%)
   TSEnumDeclaration                         11 ( 0.00%) in     10 files (  3.2%)
   TSEnumBody                                11 ( 0.00%) in     10 files (  3.2%)
   TSBigIntKeyword                           11 ( 0.00%) in      9 files (  2.9%)
   JSXClosingElement                         11 ( 0.00%) in      6 files (  1.9%)
   ForInStatement                            10 ( 0.00%) in      6 files (  1.9%)
   ClassDeclaration                          10 ( 0.00%) in      9 files (  2.9%)
   ClassBody                                 10 ( 0.00%) in      9 files (  2.9%)
   TSParameterProperty                       10 ( 0.00%) in      4 files (  1.3%)
   JSXAttribute                               9 ( 0.00%) in      5 files (  1.6%)
   TSIntersectionType                         8 ( 0.00%) in      7 files (  2.3%)
   TSIndexSignature                           7 ( 0.00%) in      5 files (  1.6%)
   JSXExpressionContainer                     7 ( 0.00%) in      3 files (  1.0%)
   TSObjectKeyword                            5 ( 0.00%) in      4 files (  1.3%)
   ExportAllDeclaration                       5 ( 0.00%) in      1 files (  0.3%)
   TSConditionalType                          5 ( 0.00%) in      3 files (  1.0%)
   Super                                      4 ( 0.00%) in      2 files (  0.6%)
   LabeledStatement                           4 ( 0.00%) in      4 files (  1.3%)
   DoWhileStatement                           4 ( 0.00%) in      3 files (  1.0%)
   ImportAttribute                            4 ( 0.00%) in      1 files (  0.3%)
   TSModuleDeclaration                        3 ( 0.00%) in      3 files (  1.0%)
   TSModuleBlock                              3 ( 0.00%) in      3 files (  1.0%)
   Hashbang                                   3 ( 0.00%) in      3 files (  1.0%)
