AST Analysis Report for swc
Generated on: 2025-07-14T02:08:14.847Z
Repository: sample-repos/swc
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/swc

📁 Found 32352 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 32352
   Successfully parsed: 32351
   Failed to parse: 1
   Total file size: 80.6 MB

🌳 NODE STATISTICS:
   Total nodes: 9,205,843
   Average nodes per file: 285
   Average file size: 2.6 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                         32351 files (100.0%) -        32,351 total ( 0.35%)
   Identifier                      27395 files ( 84.7%) -     3,602,763 total (39.14%)
   Literal                         22070 files ( 68.2%) -       663,203 total ( 7.20%)
   ExpressionStatement             20357 files ( 62.9%) -       316,847 total ( 3.44%)
   BlockStatement                  17414 files ( 53.8%) -       312,799 total ( 3.40%)
   CallExpression                  16691 files ( 51.6%) -       508,424 total ( 5.52%)
   VariableDeclaration             16592 files ( 51.3%) -       227,461 total ( 2.47%)
   VariableDeclarator              16592 files ( 51.3%) -       285,766 total ( 3.10%)
   MemberExpression                15061 files ( 46.6%) -       797,746 total ( 8.67%)
   FunctionExpression              10511 files ( 32.5%) -        91,288 total ( 0.99%)
   AssignmentExpression             8503 files ( 26.3%) -       208,911 total ( 2.27%)
   FunctionDeclaration              8275 files ( 25.6%) -        62,733 total ( 0.68%)
   Unknown                               28,840 ( 0.31%) in   1435 files (  4.4%)
   ArrowFunctionExpression               27,413 ( 0.30%) in   2702 files (  8.4%)
   SequenceExpression                    26,053 ( 0.28%) in   3286 files ( 10.2%)
   SwitchCase                            23,416 ( 0.25%) in    585 files (  1.8%)
   TemplateElement                       21,454 ( 0.23%) in    960 files (  3.0%)
   TSPropertySignature                   20,939 ( 0.23%) in   1055 files (  3.3%)
   TSStringKeyword                       20,574 ( 0.22%) in   1783 files (  5.5%)
   ImportDeclaration                     20,152 ( 0.22%) in   4104 files ( 12.7%)
   NewExpression                         19,561 ( 0.21%) in   3135 files (  9.7%)
   TSUnionType                           18,988 ( 0.21%) in    567 files (  1.8%)
   UpdateExpression                      18,023 ( 0.20%) in   1704 files (  5.3%)
   ExportNamedDeclaration                17,752 ( 0.19%) in   2611 files (  8.1%)
   TSTypeParameterInstantiation          13,973 ( 0.15%) in    921 files (  2.8%)
   TemplateLiteral                       12,587 ( 0.14%) in    939 files (  2.9%)
   JSXIdentifier                         12,288 ( 0.13%) in    230 files (  0.7%)
   MethodDefinition                      12,108 ( 0.13%) in   2972 files (  9.2%)
   ExportSpecifier                       12,100 ( 0.13%) in    733 files (  2.3%)
   ForStatement                          12,095 ( 0.13%) in   1235 files (  3.8%)
   TSAnyKeyword                          11,200 ( 0.12%) in    961 files (  3.0%)
   TSNullKeyword                         10,971 ( 0.12%) in    110 files (  0.3%)
   TSAsExpression                        10,699 ( 0.12%) in    218 files (  0.7%)
   TSTypeParameter                       10,679 ( 0.12%) in    895 files (  2.8%)
   TSNumberKeyword                        9,593 ( 0.10%) in   1582 files (  4.9%)
   ClassBody                              9,376 ( 0.10%) in   4658 files ( 14.4%)
   TSVoidKeyword                          9,095 ( 0.10%) in    614 files (  1.9%)
   TSArrayType                            8,961 ( 0.10%) in    522 files (  1.6%)
   ObjectPattern                          8,857 ( 0.10%) in   1333 files (  4.1%)
   ClassDeclaration                       8,085 ( 0.09%) in   4110 files ( 12.7%)
   TSTypeLiteral                          7,086 ( 0.08%) in    951 files (  2.9%)
   BreakStatement                         7,073 ( 0.08%) in    641 files (  2.0%)
   TSNonNullExpression                    7,054 ( 0.08%) in     60 files (  0.2%)
   TSBooleanKeyword                       6,946 ( 0.08%) in    558 files (  1.7%)
   TSFunctionType                         6,316 ( 0.07%) in    407 files (  1.3%)
   AssignmentPattern                      6,224 ( 0.07%) in    760 files (  2.3%)
   TSTypeParameterDeclaration             6,106 ( 0.07%) in    895 files (  2.8%)
   JSXAttribute                           5,974 ( 0.06%) in    135 files (  0.4%)
   TSLiteralType                          5,372 ( 0.06%) in    318 files (  1.0%)
   JSXText                                5,252 ( 0.06%) in    116 files (  0.4%)
   TSTypeAliasDeclaration                 5,209 ( 0.06%) in    376 files (  1.2%)
   PropertyDefinition                     4,699 ( 0.05%) in   1446 files (  4.5%)
   JSXExpressionContainer                 4,347 ( 0.05%) in    115 files (  0.4%)
   TSInterfaceDeclaration                 4,134 ( 0.04%) in   1025 files (  3.2%)
   TSInterfaceBody                        4,134 ( 0.04%) in   1025 files (  3.2%)
   JSXElement                             3,869 ( 0.04%) in    230 files (  0.7%)
   JSXOpeningElement                      3,869 ( 0.04%) in    230 files (  0.7%)
   TSTypeQuery                            3,843 ( 0.04%) in    234 files (  0.7%)
   WhileStatement                         3,710 ( 0.04%) in    466 files (  1.4%)
   SpreadElement                          3,704 ( 0.04%) in    512 files (  1.6%)
   SwitchStatement                        3,574 ( 0.04%) in    609 files (  1.9%)
   TryStatement                           3,482 ( 0.04%) in   1293 files (  4.0%)
   ThrowStatement                         3,255 ( 0.04%) in    927 files (  2.9%)
   TSDeclareFunction                      3,239 ( 0.04%) in    430 files (  1.3%)
   TSUndefinedKeyword                     3,177 ( 0.03%) in    194 files (  0.6%)
   TSMethodSignature                      3,066 ( 0.03%) in    285 files (  0.9%)
   CatchClause                            3,035 ( 0.03%) in   1260 files (  3.9%)
   ArrayPattern                           3,010 ( 0.03%) in    942 files (  2.9%)
   ForInStatement                         2,919 ( 0.03%) in    592 files (  1.8%)
   ForOfStatement                         2,727 ( 0.03%) in    678 files (  2.1%)
   AwaitExpression                        2,588 ( 0.03%) in    587 files (  1.8%)
   EmptyStatement                         2,581 ( 0.03%) in    702 files (  2.2%)
   PrivateIdentifier                      2,447 ( 0.03%) in    481 files (  1.5%)
   JSXClosingElement                      2,354 ( 0.03%) in    152 files (  0.5%)
   RestElement                            2,317 ( 0.03%) in    766 files (  2.4%)
   Super                                  1,993 ( 0.02%) in    487 files (  1.5%)
   TSIntersectionType                     1,951 ( 0.02%) in    132 files (  0.4%)
   TSParenthesizedType                    1,882 ( 0.02%) in    125 files (  0.4%)
   TSEnumMember                           1,847 ( 0.02%) in    207 files (  0.6%)
   ContinueStatement                      1,800 ( 0.02%) in    288 files (  0.9%)
   TSUnknownKeyword                       1,730 ( 0.02%) in    126 files (  0.4%)
   ChainExpression                        1,686 ( 0.02%) in    218 files (  0.7%)
   TSIndexedAccessType                    1,658 ( 0.02%) in     92 files (  0.3%)
   Decorator                              1,597 ( 0.02%) in    513 files (  1.6%)
   TSTypeOperator                         1,552 ( 0.02%) in    124 files (  0.4%)
   YieldExpression                        1,388 ( 0.02%) in    515 files (  1.6%)
   ClassExpression                        1,291 ( 0.01%) in    789 files (  2.4%)
   TSIndexSignature                       1,235 ( 0.01%) in    280 files (  0.9%)
   TSTupleType                            1,235 ( 0.01%) in    158 files (  0.5%)
   TSInterfaceHeritage                    1,217 ( 0.01%) in    193 files (  0.6%)
   TSModuleDeclaration                    1,118 ( 0.01%) in    554 files (  1.7%)
