AST Analysis Report for ember.js
Generated on: 2025-07-14T02:07:19.851Z
Repository: sample-repos/ember.js
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/ember.js

📁 Found 1077 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 1077
   Successfully parsed: 1077
   Failed to parse: 0
   Total file size: 4.5 MB

🌳 NODE STATISTICS:
   Total nodes: 514,961
   Average nodes per file: 478
   Average file size: 4.3 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   MemberExpression                      45,509 ( 8.84%) in    922 files ( 85.6%)
   ExpressionStatement                   31,046 ( 6.03%) in    892 files ( 82.8%)
   ThisExpression                        17,449 ( 3.39%) in    457 files ( 42.4%)
   BlockStatement                        14,437 ( 2.80%) in    812 files ( 75.4%)
   Property                              13,200 ( 2.56%) in    594 files ( 55.2%)
   FunctionExpression                     8,548 ( 1.66%) in    658 files ( 61.1%)
   VariableDeclarator                     7,948 ( 1.54%) in    789 files ( 73.3%)
   VariableDeclaration                    7,776 ( 1.51%) in    789 files ( 73.3%)
   ObjectExpression                       7,722 ( 1.50%) in    615 files ( 57.1%)
   TSTypeAnnotation                       7,518 ( 1.46%) in    419 files ( 38.9%)
   MethodDefinition                       5,853 ( 1.14%) in    479 files ( 44.5%)
   TSTypeReference                        5,304 ( 1.03%) in    406 files ( 37.7%)
   Unknown                                4,588 ( 0.89%) in    380 files ( 35.3%)
   ImportSpecifier                        4,428 ( 0.86%) in    790 files ( 73.4%)
   ReturnStatement                        4,280 ( 0.83%) in    593 files ( 55.1%)
   ArrowFunctionExpression                4,265 ( 0.83%) in    448 files ( 41.6%)
   TemplateElement                        3,770 ( 0.73%) in    327 files ( 30.4%)
   ImportDeclaration                      3,671 ( 0.71%) in    838 files ( 77.8%)
   ArrayExpression                        3,495 ( 0.68%) in    391 files ( 36.3%)
   AssignmentExpression                   3,387 ( 0.66%) in    462 files ( 42.9%)
   BinaryExpression                       2,796 ( 0.54%) in    396 files ( 36.8%)
   ClassBody                              2,492 ( 0.48%) in    553 files ( 51.3%)
   TemplateLiteral                        2,425 ( 0.47%) in    326 files ( 30.3%)
   TSTypeParameterInstantiation           2,262 ( 0.44%) in    324 files ( 30.1%)
   IfStatement                            2,037 ( 0.40%) in    384 files ( 35.7%)
   TSStringKeyword                        1,982 ( 0.38%) in    281 files ( 26.1%)
