AST Analysis Report for jotai
Generated on: 2025-07-14T02:34:32.776Z
Repository: sample-repos/jotai
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/jotai

📁 Found 172 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 172
   Successfully parsed: 172
   Failed to parse: 0
   Total file size: 594.8 KB

🌳 NODE STATISTICS:
   Total nodes: 86,914
   Average nodes per file: 505
   Average file size: 3.5 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                           172 files (100.0%) -           172 total ( 0.20%)
   CallExpression                         9,310 (10.71%) in    114 files ( 66.3%)
   MemberExpression                       4,971 ( 5.72%) in    101 files ( 58.7%)
   Literal                                4,810 ( 5.53%) in    126 files ( 73.3%)
   ExpressionStatement                    3,975 ( 4.57%) in     95 files ( 55.2%)
   VariableDeclaration                    2,686 ( 3.09%) in    103 files ( 59.9%)
   VariableDeclarator                     2,686 ( 3.09%) in    103 files ( 59.9%)
   ArrowFunctionExpression                2,683 ( 3.09%) in     87 files ( 50.6%)
   JSXIdentifier                          2,512 ( 2.89%) in     40 files ( 23.3%)
   BlockStatement                         2,149 ( 2.47%) in     98 files ( 57.0%)
   JSXText                                2,005 ( 2.31%) in     37 files ( 21.5%)
   TSTypeAnnotation                       1,502 ( 1.73%) in     82 files ( 47.7%)
   TSTypeReference                        1,493 ( 1.72%) in     65 files ( 37.8%)
   JSXElement                             1,198 ( 1.38%) in     40 files ( 23.3%)
   JSXOpeningElement                      1,198 ( 1.38%) in     40 files ( 23.3%)
   AwaitExpression                        1,153 ( 1.33%) in     39 files ( 22.7%)
   Property                               1,040 ( 1.20%) in     78 files ( 45.3%)
   JSXClosingElement                        830 ( 0.95%) in     37 files ( 21.5%)
   ReturnStatement                          770 ( 0.89%) in     85 files ( 49.4%)
   ImportSpecifier                          714 ( 0.82%) in    106 files ( 61.6%)
   TSTypeParameterInstantiation             705 ( 0.81%) in     65 files ( 37.8%)
   JSXExpressionContainer                   696 ( 0.80%) in     34 files ( 19.8%)
   BinaryExpression                         524 ( 0.60%) in     70 files ( 40.7%)
   JSXAttribute                             474 ( 0.55%) in     35 files ( 20.3%)
   ObjectExpression                         459 ( 0.53%) in     74 files ( 43.0%)
   ImportDeclaration                        456 ( 0.52%) in    112 files ( 65.1%)
   ParenthesizedExpression                  418 ( 0.48%) in     58 files ( 33.7%)
