AST Analysis Report for vitest
Generated on: 2025-07-14T02:08:28.508Z
Repository: sample-repos/vitest
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/vitest

📁 Found 1228 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 1228
   Successfully parsed: 1228
   Failed to parse: 0
   Total file size: 3.1 MB

🌳 NODE STATISTICS:
   Total nodes: 427,805
   Average nodes per file: 348
   Average file size: 2.6 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                          1228 files (100.0%) -         1,228 total ( 0.29%)
       • test/dts-config/vite.config.ts
       • test/dts-config/happy-dom-patch.ts
       • test/benchmark/vitest.config.ts
       • test/browser/injected.ts
       • test/browser/custom-snapshot-env.ts

   BlockStatement:
     📄 Files WITH BlockStatement (showing 10):
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts
       • test/workspaces-browser/globalTest.ts
       • test/workspaces/vitest.config.ts
     📄 Files WITHOUT BlockStatement (showing 10):
       • shims.d.ts
       • eslint.config.js
       • docs/vite.config.ts
       • test/watch/vitest.config.ts
       • test/typescript/vitest.config.fails.ts
       • test/ui/vitest.config.ts
       • test/ui/playwright.config.ts
       • test/workspaces/vitest.config.watch.ts
       • test/workspaces/cwdPlugin.d.ts
       • test/snapshots/vitest.config.ts

   TSTypeAnnotation:
     📄 Files WITH TSTypeAnnotation (showing 10):
       • scripts/update-contributors.ts
       • scripts/explain-types.ts
       • test/workspaces/vitest.config.ts
       • test/workspaces/globalTest.ts
       • test/workspaces/cwdPlugin.d.ts
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/core/vite.config.ts
       • test/coverage-test/utils.ts
       • test/coverage-test/setup.ts
     📄 Files WITHOUT TSTypeAnnotation (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts

   VariableDeclarator:
     📄 Files WITH VariableDeclarator (showing 10):
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
