AST Analysis Report for vitest
Generated on: 2025-07-14T02:08:28.508Z
Repository: sample-repos/vitest
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/vitest

📁 Found 1228 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 1228
   Successfully parsed: 1228
   Failed to parse: 0
   Total file size: 3.1 MB

🌳 NODE STATISTICS:
   Total nodes: 427,805
   Average nodes per file: 348
   Average file size: 2.6 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                          1228 files (100.0%) -         1,228 total ( 0.29%)
       • test/typescript/failing/expect-error.test-d.ts
     📄 Files WITHOUT TSNumberKeyword (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   ParenthesizedExpression:
     📄 Files WITH ParenthesizedExpression (showing 10):
       • scripts/update-contributors.ts
       • scripts/explain-types.ts
       • test/workspaces/vitest.config.ts
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/global-setup/vitest.config.ts
       • test/core/vite.config.ts
       • test/coverage-test/utils.ts
       • test/coverage-test/setup.ts
       • test/browser/setup.unit.ts
     📄 Files WITHOUT ParenthesizedExpression (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts

   TSFunctionType:
     📄 Files WITH TSFunctionType (showing 10):
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/coverage-test/utils.ts
       • packages/ui/types.ts
       • packages/browser/matchers.d.ts
       • packages/browser/context.d.ts
       • test/watch/test/workspaces.test.ts
       • test/watch/test/file-watching.test.ts
       • test/typescript/test-d/test.test-d.ts
       • test/typescript/test-d/expect-extend.test-d.ts
     📄 Files WITHOUT TSFunctionType (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   ExportSpecifier:
     📄 Files WITH ExportSpecifier (showing 10):
       • packages/browser/providers.d.ts
       • examples/fastify/mockData.ts
       • test/vite-node/src/self-export.d.ts
       • test/reporters/src/data.ts
       • test/browser/specs/utils.ts
       • packages/vite-node/src/types.ts
       • packages/utils/src/source-map.ts
       • packages/utils/src/index.ts
       • packages/utils/src/error.ts
       • packages/vitest/src/defaults.ts
     📄 Files WITHOUT ExportSpecifier (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSIndexedAccessType:
     📄 Files WITH TSIndexedAccessType (showing 10):
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • packages/vitest/globals.d.ts
       • packages/browser/matchers.d.ts
       • packages/browser/context.d.ts
       • test/workspaces/space-pools/single-worker.test.ts
       • test/workspaces/space-pools/no-isolate.test.ts
       • test/workspaces/space-pools/multi-worker.test.ts
       • test/workspaces/space-pools/isolate.test.ts
       • test/reporters/tests/test-run.test.ts
     📄 Files WITHOUT TSIndexedAccessType (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSBooleanKeyword:
     📄 Files WITH TSBooleanKeyword (showing 10):
       • test/workspaces/globalTest.ts
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • packages/browser/jest-dom.d.ts
       • packages/browser/context.d.ts
       • test/workspaces/space-pools/threads.test.ts
       • test/workspaces/space-pools/forks.test.ts
       • test/reporters/tests/test-run.test.ts
       • test/core/types/vite.d.ts
       • test/core/types/env.d.ts
     📄 Files WITHOUT TSBooleanKeyword (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   SpreadElement:
     📄 Files WITH SpreadElement (showing 10):
       • scripts/update-contributors.ts
       • docs/pwa-assets.config.ts
       • test/test-utils/index.ts
       • test/snapshots/vitest.config.ts
       • test/core/vite.config.ts
       • test/coverage-test/vitest.config.ts
       • test/coverage-test/utils.ts
       • test/coverage-test/setup.ts
       • packages/ws-client/rollup.config.js
       • packages/web-worker/rollup.config.js
     📄 Files WITHOUT SpreadElement (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts

   TSTypeQuery:
     📄 Files WITH TSTypeQuery (showing 10):
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/coverage-test/utils.ts
       • packages/vitest/importMeta.d.ts
       • packages/vitest/globals.d.ts
       • test/reporters/tests/test-run.test.ts
       • test/reporters/tests/configuration-options.test-d.ts
       • test/cli/test/scoped-fixtures.test.ts
       • test/cli/test/inspect.test.ts
       • test/core/test/vi.spec.ts
     📄 Files WITHOUT TSTypeQuery (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   PropertyDefinition:
     📄 Files WITH PropertyDefinition (showing 10):
       • test/test-utils/cli.ts
       • test/reporters/tests/test-run.test.ts
       • test/reporters/tests/silent.test.ts
       • test/reporters/tests/console.test.ts
       • test/reporters/src/custom-reporter.ts
       • test/core/src/mockedC.ts
       • test/cli/test/signal.test.ts
       • test/core/test/utils.spec.ts
       • test/core/test/spy.test.ts
       • test/core/test/snapshot-custom-serializer.test.ts
     📄 Files WITHOUT PropertyDefinition (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   ThrowStatement:
     📄 Files WITH ThrowStatement (showing 10):
       • scripts/publish-ci.ts
       • test/workspaces/globalTest.ts
       • test/test-utils/index.ts
       • test/coverage-test/utils.ts
       • test/browser/custom-snapshot-env.ts
       • packages/vitest/index.cjs
       • packages/browser/context.js
       • test/vite-node/src/hmr-throw.js
       • test/workspaces/space_3/vite.config.ts
       • test/snapshots/test-update/retry-inline.test.ts
     📄 Files WITHOUT ThrowStatement (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts

   TSInterfaceDeclaration:
     📄 Files WITH TSInterfaceDeclaration (showing 10):
       • scripts/update-contributors.ts
       • test/workspaces/globalTest.ts
       • test/test-utils/index.ts
       • test/browser/setup.unit.ts
       • packages/vitest/importMeta.d.ts
       • packages/ui/types.ts
       • packages/browser/types.ts
       • packages/browser/matchers.d.ts
       • packages/browser/jest-dom.d.ts
       • packages/browser/context.d.ts
     📄 Files WITHOUT TSInterfaceDeclaration (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts

   TSInterfaceBody:
     📄 Files WITH TSInterfaceBody (showing 10):
       • scripts/update-contributors.ts
       • test/workspaces/globalTest.ts
       • test/test-utils/index.ts
       • test/browser/setup.unit.ts
       • packages/vitest/importMeta.d.ts
       • packages/ui/types.ts
       • packages/browser/types.ts
       • packages/browser/matchers.d.ts
       • packages/browser/jest-dom.d.ts
       • packages/browser/context.d.ts
     📄 Files WITHOUT TSInterfaceBody (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts

   TSUnknownKeyword:
     📄 Files WITH TSUnknownKeyword (showing 10):
       • test/workspaces/globalTest.ts
       • test/test-utils/index.ts
       • packages/browser/jest-dom.d.ts
       • test/typescript/test-d/test.test-d.ts
       • test/typescript/test-d/expect-extend.test-d.ts
       • test/ui/test/ui.spec.ts
       • test/ui/test/html-report.spec.ts
       • test/reporters/src/custom-reporter.ts
       • test/reporters/src/context.ts
       • test/cli/test/scoped-fixtures.test.ts
     📄 Files WITHOUT TSUnknownKeyword (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSImportType:
     📄 Files WITH TSImportType (showing 10):
       • packages/vitest/importMeta.d.ts
       • packages/vitest/globals.d.ts
       • test/core/test/vi.spec.ts
       • packages/vite-node/src/client.ts
       • packages/vitest/src/defaults.ts
       • packages/ui/client/components.d.ts
       • packages/ui/client/auto-imports.d.ts
       • packages/coverage-v8/src/load-provider.ts
       • packages/coverage-istanbul/src/index.ts
       • packages/vitest/src/runtime/mocker.ts
     📄 Files WITHOUT TSImportType (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSTypeLiteral:
     📄 Files WITH TSTypeLiteral (showing 10):
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • packages/browser/jest-dom.d.ts
       • packages/browser/context.d.ts
       • test/vite-node/test/server.test.ts
       • test/vite-node/src/self-export.d.ts
       • test/typescript/test-d/test.test-d.ts
       • test/typescript/test-d/expect-extend.test-d.ts
       • test/reporters/tests/configuration-options.test-d.ts
       • test/dts-fixture/src/repro.ts
     📄 Files WITHOUT TSTypeLiteral (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   ImportDefaultSpecifier:
     📄 Files WITH ImportDefaultSpecifier (showing 10):
       • eslint.config.js
       • scripts/build-utils.js
       • docs/vite.config.ts
       • test/workspaces-browser/globalTest.ts
       • test/workspaces/vitest.config.watch.ts
       • test/workspaces/vitest.config.ts
       • test/workspaces/globalTest.ts
       • test/test-utils/index.ts
       • test/reporters/custom-reporter.vitest.config.ts
       • test/cli/custom.ts
     📄 Files WITHOUT ImportDefaultSpecifier (showing 10):
       • shims.d.ts
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts
       • test/typescript/vitest.config.fails.ts

   TSTypeParameter:
     📄 Files WITH TSTypeParameter (showing 10):
       • test/test-utils/index.ts
       • test/browser/setup.unit.ts
       • packages/ui/types.ts
       • packages/browser/matchers.d.ts
       • packages/browser/jest-dom.d.ts
       • test/typescript/test-d/test.test-d.ts
       • test/typescript/test-d/expect-extend.test-d.ts
       • test/reporters/tests/configuration-options.test-d.ts
       • test/cli/test/scoped-fixtures.test.ts
       • test/core/test/vi.spec.ts
     📄 Files WITHOUT TSTypeParameter (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSUndefinedKeyword:
     📄 Files WITH TSUndefinedKeyword (showing 10):
       • test/test-utils/index.ts
       • test/browser/setup.unit.ts
       • packages/browser/utils.d.ts
       • test/ui/test/ui.spec.ts
       • test/reporters/tests/test-run.test.ts
       • test/core/types/vite.d.ts
       • test/core/types/env.d.ts
       • test/cli/test/reported-tasks.test.ts
       • test/cli/test/console.test.ts
       • test/cli/test/browser-multiple.test.ts
     📄 Files WITHOUT TSUndefinedKeyword (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   AssignmentPattern:
     📄 Files WITH AssignmentPattern (showing 10):
       • scripts/update-contributors.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • test/test-utils/index.ts
       • test/coverage-test/utils.ts
       • test/reporters/tests/test-run.test.ts
       • test/cli/test/init.test.ts
       • test/core/test/injector-mock.test.ts
       • test/core/test/cli-test.test.ts
       • test/config/test/shard.test.ts
     📄 Files WITHOUT AssignmentPattern (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/release.ts
       • scripts/publish-ci.ts
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts
       • test/workspaces-browser/globalTest.ts

   TSTypeParameterDeclaration:
     📄 Files WITH TSTypeParameterDeclaration (showing 10):
       • test/test-utils/index.ts
       • test/browser/setup.unit.ts
       • packages/ui/types.ts
       • packages/browser/matchers.d.ts
       • packages/browser/jest-dom.d.ts
       • test/typescript/test-d/test.test-d.ts
       • test/typescript/test-d/expect-extend.test-d.ts
       • test/reporters/tests/configuration-options.test-d.ts
       • test/cli/test/scoped-fixtures.test.ts
       • test/core/test/vi.spec.ts
     📄 Files WITHOUT TSTypeParameterDeclaration (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSTypeAliasDeclaration:
     📄 Files WITH TSTypeAliasDeclaration (showing 10):
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • packages/ui/types.ts
       • packages/browser/utils.d.ts
       • packages/browser/types.ts
       • packages/browser/matchers.d.ts
       • packages/browser/context.d.ts
       • packages/browser/aria-role.d.ts
       • test/typescript/test-d/test.test-d.ts
       • test/reporters/tests/configuration-options.test-d.ts
     📄 Files WITHOUT TSTypeAliasDeclaration (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSNonNullExpression:
     📄 Files WITH TSNonNullExpression (showing 10):
       • test/test-utils/index.ts
       • test/vite-node/test/server.test.ts
       • test/watch/test/change-project.test.ts
       • test/snapshots/test/test-update.test.ts
       • test/reporters/tests/test-run.test.ts
       • test/reporters/tests/junit.test.ts
       • test/reporters/tests/json.test.ts
       • test/reporters/tests/import-durations.test.ts
       • test/public-mocker/test/mocker.test.ts
       • test/cli/test/skip-note.test.ts
     📄 Files WITHOUT TSNonNullExpression (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   ForOfStatement:
     📄 Files WITH ForOfStatement (showing 10):
       • scripts/explain-types.ts
       • test/test-utils/cli.ts
       • test/coverage-test/utils.ts
       • packages/vitest/rollup.config.js
       • test/snapshots/test/test-update.test.ts
       • test/reporters/tests/merge-reports.test.ts
       • test/cli/test/stacktraces.test.ts
       • test/cli/test/reported-tasks.test.ts
       • test/cli/test/init.test.ts
       • test/core/test/snapshot-file.test.ts
     📄 Files WITHOUT ForOfStatement (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts

   UpdateExpression:
     📄 Files WITH UpdateExpression (showing 10):
       • scripts/explain-types.ts
       • test/reporters/tests/custom-reporter.spec.ts
       • test/cli/test/inspect.test.ts
       • test/core/test/test-extend-with-top-level-hooks.test.ts
       • test/core/test/sequential.test.ts
       • test/core/test/propagate-options-nested-suite.test.ts
       • test/core/test/modes.test.ts
       • test/core/test/lot-of-tests.test.ts
       • test/core/test/hooks.test.js
       • test/core/test/fn.test.ts
     📄 Files WITHOUT UpdateExpression (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts

   ClassBody:
     📄 Files WITH ClassBody (showing 10):
       • test/test-utils/cli.ts
       • test/reporters/tests/verbose.test.ts
       • test/reporters/tests/test-run.test.ts
       • test/reporters/tests/silent.test.ts
       • test/reporters/tests/default.test.ts
       • test/reporters/tests/console.test.ts
       • test/reporters/src/custom-reporter.ts
       • test/reporters/src/custom-reporter.js
       • test/reporters/reportPkg/index.js
       • test/core/src/mockedE.ts
     📄 Files WITHOUT ClassBody (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   MetaProperty:
     📄 Files WITH MetaProperty (showing 10):
       • scripts/publish-ci.ts
       • test/workspaces-browser/vitest.config.ts
       • test/snapshots/generate.mjs
       • packages/web-worker/rollup.config.js
       • packages/vite-node/rollup.config.js
       • packages/utils/rollup.config.js
       • packages/vitest/rollup.config.js
       • packages/ui/vite.config.ts
       • packages/ui/rollup.config.js
       • packages/spy/rollup.config.js
     📄 Files WITHOUT MetaProperty (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts

   RestElement:
     📄 Files WITH RestElement (showing 10):
       • test/test-utils/index.ts
       • packages/browser/matchers.d.ts
       • packages/browser/jest-dom.d.ts
       • packages/browser/context.d.ts
       • test/snapshots/test/summary.test.ts
       • test/reporters/tests/custom-reporter.spec.ts
       • test/cli/test/list.test.ts
       • test/core/test/utils-display.spec.ts
       • test/core/test/test-for-suite.test.ts
       • test/config/test/failures.test.ts
     📄 Files WITHOUT RestElement (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TryStatement:
     📄 Files WITH TryStatement (showing 10):
       • scripts/release.ts
       • test/workspaces-browser/globalTest.ts
       • test/workspaces/globalTest.ts
       • test/test-utils/index.ts
       • packages/vitest/rollup.config.js
       • test/ui/test/ui.spec.ts
       • test/reporters/tests/custom-reporter.spec.ts
       • test/core/test/web-worker-node.test.ts
       • test/core/test/web-worker-jsdom.test.ts
       • test/core/test/wasm.test.ts
     📄 Files WITHOUT TryStatement (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts

   ClassDeclaration:
     📄 Files WITH ClassDeclaration (showing 10):
       • test/test-utils/cli.ts
       • test/reporters/tests/test-run.test.ts
       • test/reporters/tests/silent.test.ts
       • test/reporters/tests/default.test.ts
       • test/reporters/tests/console.test.ts
       • test/reporters/src/custom-reporter.ts
       • test/reporters/src/custom-reporter.js
       • test/reporters/reportPkg/index.js
       • test/core/src/mockedE.ts
       • test/core/src/mockedC.ts
     📄 Files WITHOUT ClassDeclaration (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSNullKeyword:
     📄 Files WITH TSNullKeyword (showing 10):
       • packages/browser/utils.d.ts
       • packages/browser/matchers.d.ts
       • packages/browser/jest-dom.d.ts
       • packages/browser/context.d.ts
       • test/core/test/vi.test-d.ts
       • test/core/test/esnext.test.ts
       • test/core/test/define-web.test.ts
       • test/core/test/define-ssr.test.ts
       • test/browser/test/userEvent.test.ts
       • packages/web-worker/src/worker.ts
     📄 Files WITHOUT TSNullKeyword (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   ExportDefaultDeclaration:
     📄 Files WITH ExportDefaultDeclaration (showing 10):
       • eslint.config.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts
       • test/workspaces-browser/vitest.config.ts
       • test/typescript/vitest.config.fails.ts
       • test/ui/vitest.config.ts
       • test/ui/playwright.config.ts
       • test/workspaces/vitest.config.watch.ts
     📄 Files WITHOUT ExportDefaultDeclaration (showing 10):
       • shims.d.ts
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • test/workspaces-browser/globalTest.ts
       • test/workspaces/globalTest.ts
       • test/workspaces/cwdPlugin.js
       • test/workspaces/cwdPlugin.d.ts

   SwitchCase:
     📄 Files WITH SwitchCase (showing 10):
       • docs/pwa-assets.config.ts
       • packages/utils/src/display.ts
       • packages/expect/src/jest-utils.ts
       • packages/vite-node/src/hmr/hmr.ts
       • packages/utils/src/diff/joinAlignedDiffs.ts
       • packages/utils/src/diff/index.ts
       • packages/utils/src/diff/getAlignedDiffs.ts
       • packages/utils/src/diff/diffLines.ts
       • packages/utils/src/diff/cleanupSemantic.ts
       • packages/vitest/src/runtime/external-executor.ts
     📄 Files WITHOUT SwitchCase (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts

   CatchClause:
     📄 Files WITH CatchClause (showing 10):
       • scripts/release.ts
       • test/workspaces-browser/globalTest.ts
       • test/workspaces/globalTest.ts
       • test/test-utils/index.ts
       • packages/vitest/rollup.config.js
       • test/ui/test/ui.spec.ts
       • test/reporters/tests/custom-reporter.spec.ts
       • test/core/test/web-worker-node.test.ts
       • test/core/test/web-worker-jsdom.test.ts
       • test/core/test/wasm.test.ts
     📄 Files WITHOUT CatchClause (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts

   TSQualifiedName:
     📄 Files WITH TSQualifiedName (showing 10):
       • test/workspaces/vitest.config.ts
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • test/global-setup/globalSetup/server.ts
       • test/cli/test/scoped-fixtures.test.ts
       • test/config/test/failures.test.ts
       • packages/web-worker/src/utils.ts
       • packages/vite-node/src/utils.ts
       • packages/coverage-v8/src/provider.ts
       • packages/coverage-v8/src/index.ts
     📄 Files WITHOUT TSQualifiedName (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   ArrayPattern:
     📄 Files WITH ArrayPattern (showing 10):
       • scripts/explain-types.ts
       • test/test-utils/index.ts
       • test/coverage-test/utils.ts
       • packages/vitest/rollup.config.js
       • test/snapshots/test/test-update.test.ts
       • test/reporters/tests/merge-reports.test.ts
       • test/cli/test/scoped-fixtures.test.ts
       • test/cli/test/network-imports.test.ts
       • test/cli/test/config-loader.test.ts
       • test/core/test/utils.spec.ts
     📄 Files WITHOUT ArrayPattern (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts
       • test/watch/vitest.config.ts

   TSParenthesizedType:
     📄 Files WITH TSParenthesizedType (showing 10):
       • test/test-utils/index.ts
       • test/test-utils/cli.ts
       • packages/browser/utils.d.ts
       • packages/browser/jest-dom.d.ts
       • packages/browser/context.d.ts
       • test/watch/test/workspaces.test.ts
       • test/watch/test/file-watching.test.ts
       • test/reporters/tests/configuration-options.test-d.ts
       • test/cli/test/scoped-fixtures.test.ts
       • test/cli/test/browser-multiple.test.ts
     📄 Files WITHOUT TSParenthesizedType (showing 10):
       • shims.d.ts
       • eslint.config.js
       • scripts/update-contributors.ts
       • scripts/release.ts
       • scripts/publish-ci.ts
       • scripts/explain-types.ts
       • scripts/build-utils.js
       • docs/vite.config.ts
       • docs/pwa-assets.config.ts
       • test/vite-node/vitest.config.ts

   TSTupleType:
     📄 Files WITH TSTupleType (showing 10):
       • test/test-utils/index.ts
       • packages/browser/jest-dom.d.ts
       • test/core/test/vi.spec.ts
       • test/core/test/test-for-suite.test.ts
       • packages/web-worker/src/worker.ts
       • packages/web-worker/src/shared-worker.ts
       • packages/vite-node/src/client.ts
