AST Analysis Report for rollup
Generated on: 2025-07-14T01:42:30.122Z
Repository: sample-repos/rollup
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/rollup

📁 Found 12147 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 12147
   Successfully parsed: 12147
   Failed to parse: 0
   Total file size: 9.2 MB

🌳 NODE STATISTICS:
   Total nodes: 1,241,523
   Average nodes per file: 102
   Average file size: 791.0 B

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                        12147 files (100.0%) -   12,147 total (0.98%)
   Literal                        11765 files ( 96.9%) -  103,007 total (8.30%)
   Identifier                     11627 files ( 95.7%) -  419,254 total (33.77%)
   ExpressionStatement            9837 files ( 81.0%) -   73,764 total (5.94%)
   MemberExpression               9589 files ( 78.9%) -  131,719 total (10.61%)
   CallExpression                 9499 files ( 78.2%) -   72,356 total (5.83%)
   BlockStatement                 5843 files ( 48.1%) -   37,730 total (3.04%)
   VariableDeclaration            5774 files ( 47.5%) -   26,736 total (2.15%)
   VariableDeclarator             5774 files ( 47.5%) -   29,024 total (2.34%)
   ConditionalExpression             2,756 (0.22%) in 871 files (7.2%)
   MethodDefinition                  2,278 (0.18%) in 401 files (3.3%)
   ExportSpecifier                   1,926 (0.16%) in 1096 files (9.0%)
   ThrowStatement                    1,823 (0.15%) in 286 files (2.4%)
   TSStringKeyword                   1,680 (0.14%) in 185 files (1.5%)
   TemplateLiteral                   1,624 (0.13%) in 506 files (4.2%)
   ImportDefaultSpecifier            1,502 (0.12%) in 704 files (5.8%)
   ObjectPattern                     1,462 (0.12%) in 584 files (4.8%)
   TryStatement                      1,241 (0.10%) in 144 files (1.2%)
   CatchClause                       1,232 (0.10%) in 142 files (1.2%)
   TSPropertySignature               1,196 (0.10%) in 80 files (0.7%)
   SwitchStatement                   1,128 (0.09%) in 87 files (0.7%)
   ExportDefaultDeclaration            945 (0.08%) in 943 files (7.8%)
   TSTypeParameterInstantiation        932 (0.08%) in 122 files (1.0%)
   TSUnionType                         846 (0.07%) in 171 files (1.4%)
   ImportExpression                    773 (0.06%) in 414 files (3.4%)
   ClassBody                           759 (0.06%) in 522 files (4.3%)
   PropertyDefinition                  752 (0.06%) in 182 files (1.5%)
   UpdateExpression                    744 (0.06%) in 233 files (1.9%)
   AwaitExpression                     721 (0.06%) in 191 files (1.6%)
   ClassDeclaration                    672 (0.05%) in 490 files (4.0%)
   TSBooleanKeyword                    657 (0.05%) in 155 files (1.3%)
   ForOfStatement                      625 (0.05%) in 188 files (1.5%)
   TSArrayType                         624 (0.05%) in 150 files (1.2%)
   WhileStatement                      595 (0.05%) in 75 files (0.6%)
   TSVoidKeyword                       550 (0.04%) in 166 files (1.4%)
   TSLiteralType                       487 (0.04%) in 72 files (0.6%)
   SpreadElement                       432 (0.03%) in 152 files (1.3%)
   SequenceExpression                  430 (0.03%) in 244 files (2.0%)
   ImportNamespaceSpecifier            428 (0.03%) in 340 files (2.8%)
   TSTypeAliasDeclaration              347 (0.03%) in 41 files (0.3%)
   TSNullKeyword                       344 (0.03%) in 107 files (0.9%)
   TSNumberKeyword                     323 (0.03%) in 51 files (0.4%)
   ChainExpression                     295 (0.02%) in 103 files (0.8%)
   TSAsExpression                      289 (0.02%) in 105 files (0.9%)
   TSQualifiedName                     271 (0.02%) in 96 files (0.8%)
   ArrayPattern                        270 (0.02%) in 114 files (0.9%)
   AssignmentPattern                   267 (0.02%) in 114 files (0.9%)
   ForStatement                        256 (0.02%) in 88 files (0.7%)
