AST Analysis Report for solid
Generated on: 2025-07-14T02:35:10.139Z
Repository: sample-repos/solid
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/solid

📁 Found 107 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 107
   Successfully parsed: 107
   Failed to parse: 0
   Total file size: 602.6 KB

🌳 NODE STATISTICS:
   Total nodes: 101,917
   Average nodes per file: 952
   Average file size: 5.6 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                           107 files (100.0%) -           107 total ( 0.10%)
   ImportExpression                    2 files (  1.9%) -            10 total ( 0.01%)
   JSXSpreadAttribute                  2 files (  1.9%) -             2 total ( 0.00%)
   TSTemplateLiteralType               2 files (  1.9%) -             2 total ( 0.00%)
   TSInterfaceHeritage                 2 files (  1.9%) -             9 total ( 0.01%)
   TSTypePredicate                     2 files (  1.9%) -             2 total ( 0.00%)
   TSBigIntKeyword                     2 files (  1.9%) -             2 total ( 0.00%)
   PrivateIdentifier                   1 files (  0.9%) -             2 total ( 0.00%)
   TSParameterProperty                 1 files (  0.9%) -             1 total ( 0.00%)
   ClassExpression                     1 files (  0.9%) -             1 total ( 0.00%)
   JSXNamespacedName                   1 files (  0.9%) -             1 total ( 0.00%)
   JSXMemberExpression                 1 files (  0.9%) -            12 total ( 0.01%)
   DoWhileStatement                    1 files (  0.9%) -             1 total ( 0.00%)
   TSOptionalType                      1 files (  0.9%) -             2 total ( 0.00%)
   Super                               1 files (  0.9%) -             4 total ( 0.00%)

📝 ALL NODE TYPES (BY TOTAL COUNT):
   Identifier                            36,048 (35.37%) in     89 files ( 83.2%)
   CallExpression                         7,818 ( 7.67%) in     83 files ( 77.6%)
   Literal                                6,519 ( 6.40%) in     93 files ( 86.9%)
   MemberExpression                       6,489 ( 6.37%) in     76 files ( 71.0%)
   ExpressionStatement                    5,601 ( 5.50%) in     71 files ( 66.4%)
   TSTypeReference                        3,036 ( 2.98%) in     51 files ( 47.7%)
   BlockStatement                         2,994 ( 2.94%) in     71 files ( 66.4%)
   TSTypeAnnotation                       2,658 ( 2.61%) in     52 files ( 48.6%)
   VariableDeclarator                     2,573 ( 2.52%) in     77 files ( 72.0%)
   VariableDeclaration                    2,102 ( 2.06%) in     77 files ( 72.0%)
   ArrowFunctionExpression                1,968 ( 1.93%) in     63 files ( 58.9%)
   AssignmentExpression                   1,691 ( 1.66%) in     62 files ( 57.9%)
   Property                               1,644 ( 1.61%) in     71 files ( 66.4%)
   TSTypeParameterInstantiation           1,281 ( 1.26%) in     42 files ( 39.3%)
   BinaryExpression                       1,172 ( 1.15%) in     49 files ( 45.8%)
   IfStatement                            1,032 ( 1.01%) in     44 files ( 41.1%)
   ReturnStatement                          868 ( 0.85%) in     54 files ( 50.5%)
   ObjectExpression                         861 ( 0.84%) in     69 files ( 64.5%)
   ArrayExpression                          744 ( 0.73%) in     54 files ( 50.5%)
   JSXIdentifier                            704 ( 0.69%) in     10 files (  9.3%)
   TSPropertySignature                      613 ( 0.60%) in     35 files ( 32.7%)
   TSNumberKeyword                          580 ( 0.57%) in     27 files ( 25.2%)
   LogicalExpression                        541 ( 0.53%) in     36 files ( 33.6%)
   FunctionDeclaration                      535 ( 0.52%) in     50 files ( 46.7%)
   TSUnionType                              497 ( 0.49%) in     32 files ( 29.9%)
   ImportSpecifier                          481 ( 0.47%) in     57 files ( 53.3%)
   ParenthesizedExpression                  480 ( 0.47%) in     52 files ( 48.6%)
   UnaryExpression                          449 ( 0.44%) in     40 files ( 37.4%)
   TSTypeParameter                          415 ( 0.41%) in     24 files ( 22.4%)
   TSStringKeyword                          414 ( 0.41%) in     32 files ( 29.9%)
   ThisExpression                           381 ( 0.37%) in     21 files ( 19.6%)
   JSXText                                  370 ( 0.36%) in     10 files (  9.3%)
   TSFunctionType                           359 ( 0.35%) in     39 files ( 36.4%)
   ExportNamedDeclaration                   342 ( 0.34%) in     28 files ( 26.2%)
   ArrayPattern                             322 ( 0.32%) in     32 files ( 29.9%)
   TSTypeLiteral                            299 ( 0.29%) in     34 files ( 31.8%)
   TSAnyKeyword                             297 ( 0.29%) in     30 files ( 28.0%)
   JSXElement                               297 ( 0.29%) in     10 files (  9.3%)
   JSXOpeningElement                        297 ( 0.29%) in     10 files (  9.3%)
   TSAsExpression                           290 ( 0.28%) in     31 files ( 29.0%)
   TSTypeParameterDeclaration               265 ( 0.26%) in     24 files ( 22.4%)
   TSIndexedAccessType                      233 ( 0.23%) in     11 files ( 10.3%)
   TSNonNullExpression                      228 ( 0.22%) in     28 files ( 26.2%)
   ConditionalExpression                    224 ( 0.22%) in     30 files ( 28.0%)
   JSXExpressionContainer                   224 ( 0.22%) in     10 files (  9.3%)
   UpdateExpression                         223 ( 0.22%) in     38 files ( 35.5%)
   TSUndefinedKeyword                       219 ( 0.21%) in     23 files ( 21.5%)
   JSXClosingElement                        216 ( 0.21%) in     10 files (  9.3%)
   FunctionExpression                       210 ( 0.21%) in     30 files ( 28.0%)
   TSVoidKeyword                            209 ( 0.21%) in     30 files ( 28.0%)
   NewExpression                            200 ( 0.20%) in     41 files ( 38.3%)
   TSBooleanKeyword                         189 ( 0.19%) in     21 files ( 19.6%)
   ExportSpecifier                          178 ( 0.17%) in     11 files ( 10.3%)
   JSXAttribute                             178 ( 0.17%) in     10 files (  9.3%)
   TSLiteralType                            170 ( 0.17%) in     13 files ( 12.1%)
   ImportDeclaration                        167 ( 0.16%) in     62 files ( 57.9%)
   TSTypeAliasDeclaration                   164 ( 0.16%) in     27 files ( 25.2%)
   TSArrayType                              157 ( 0.15%) in     25 files ( 23.4%)
   ForStatement                             149 ( 0.15%) in     25 files ( 23.4%)
   TemplateElement                          140 ( 0.14%) in     19 files ( 17.8%)
   Program                                  107 ( 0.10%) in    107 files (100.0%)
   TSParenthesizedType                       96 ( 0.09%) in     17 files ( 15.9%)
   TSTypeOperator                            86 ( 0.08%) in     15 files ( 14.0%)
   TSTupleType                               86 ( 0.08%) in     12 files ( 11.2%)
   TSQualifiedName                           85 ( 0.08%) in     15 files ( 14.0%)
   TSUnknownKeyword                          75 ( 0.07%) in     12 files ( 11.2%)
   TSNullKeyword                             72 ( 0.07%) in     13 files ( 12.1%)
   SpreadElement                             69 ( 0.07%) in     21 files ( 19.6%)
   TemplateLiteral                           66 ( 0.06%) in     19 files ( 17.8%)
   TSIntersectionType                        63 ( 0.06%) in     14 files ( 13.1%)
   TSConditionalType                         62 ( 0.06%) in      9 files (  8.4%)
   TSTypeQuery                               59 ( 0.06%) in     12 files ( 11.2%)
   AwaitExpression                           59 ( 0.06%) in      9 files (  8.4%)
   ThrowStatement                            58 ( 0.06%) in     20 files ( 18.7%)
   TryStatement                              49 ( 0.05%) in     16 files ( 15.0%)
   AssignmentPattern                         47 ( 0.05%) in     16 files ( 15.0%)
   MethodDefinition                          46 ( 0.05%) in      7 files (  6.5%)
   TSDeclareFunction                         43 ( 0.04%) in      8 files (  7.5%)
   TSInterfaceDeclaration                    40 ( 0.04%) in     12 files ( 11.2%)
   TSInterfaceBody                           40 ( 0.04%) in     12 files ( 11.2%)
   ForOfStatement                            36 ( 0.04%) in     12 files ( 11.2%)
   ObjectPattern                             32 ( 0.03%) in     16 files ( 15.0%)
   TSNeverKeyword                            30 ( 0.03%) in      9 files (  8.4%)
   RestElement                               27 ( 0.03%) in     13 files ( 12.1%)
   ImportDefaultSpecifier                    25 ( 0.02%) in      8 files (  7.5%)
   WhileStatement                            25 ( 0.02%) in     13 files ( 12.1%)
   SequenceExpression                        23 ( 0.02%) in      9 files (  8.4%)
   CatchClause                               20 ( 0.02%) in      6 files (  5.6%)
   TSCallSignatureDeclaration                20 ( 0.02%) in      3 files (  2.8%)
   JSXFragment                               19 ( 0.02%) in      6 files (  5.6%)
   JSXOpeningFragment                        19 ( 0.02%) in      6 files (  5.6%)
   JSXClosingFragment                        19 ( 0.02%) in      6 files (  5.6%)
   TSMappedType                              19 ( 0.02%) in      5 files (  4.7%)
   ExportAllDeclaration                      18 ( 0.02%) in     11 files ( 10.3%)
   ClassBody                                 17 ( 0.02%) in      9 files (  8.4%)
   ClassDeclaration                          16 ( 0.02%) in      8 files (  7.5%)
   TSNamedTupleMember                        15 ( 0.01%) in      4 files (  3.7%)
   TSObjectKeyword                           14 ( 0.01%) in      6 files (  5.6%)
   SwitchCase                                14 ( 0.01%) in      3 files (  2.8%)
   ChainExpression                           14 ( 0.01%) in      3 files (  2.8%)
   TSSymbolKeyword                           14 ( 0.01%) in      6 files (  5.6%)
   ContinueStatement                         13 ( 0.01%) in      7 files (  6.5%)
   PropertyDefinition                        12 ( 0.01%) in      5 files (  4.7%)
   JSXMemberExpression                       12 ( 0.01%) in      1 files (  0.9%)
   TSInferType                               12 ( 0.01%) in      3 files (  2.8%)
   BreakStatement                            11 ( 0.01%) in      4 files (  3.7%)
   TSMethodSignature                         11 ( 0.01%) in      5 files (  4.7%)
   ImportExpression                          10 ( 0.01%) in      2 files (  1.9%)
   ExportDefaultDeclaration                  10 ( 0.01%) in     10 files (  9.3%)
   TSRestType                                10 ( 0.01%) in      3 files (  2.8%)
   TSInterfaceHeritage                        9 ( 0.01%) in      2 files (  1.9%)
   EmptyStatement                             9 ( 0.01%) in      8 files (  7.5%)
   ForInStatement                             6 ( 0.01%) in      4 files (  3.7%)
   TSIndexSignature                           6 ( 0.01%) in      4 files (  3.7%)
   TSModuleDeclaration                        5 ( 0.00%) in      4 files (  3.7%)
   TSModuleBlock                              5 ( 0.00%) in      4 files (  3.7%)
   SwitchStatement                            4 ( 0.00%) in      3 files (  2.8%)
   Super                                      4 ( 0.00%) in      1 files (  0.9%)
   MetaProperty                               3 ( 0.00%) in      3 files (  2.8%)
   PrivateIdentifier                          2 ( 0.00%) in      1 files (  0.9%)
   JSXSpreadAttribute                         2 ( 0.00%) in      2 files (  1.9%)
   TSTemplateLiteralType                      2 ( 0.00%) in      2 files (  1.9%)
   TSTypePredicate                            2 ( 0.00%) in      2 files (  1.9%)
   TSBigIntKeyword                            2 ( 0.00%) in      2 files (  1.9%)
   TSOptionalType                             2 ( 0.00%) in      1 files (  0.9%)
   TSParameterProperty                        1 ( 0.00%) in      1 files (  0.9%)
   ClassExpression                            1 ( 0.00%) in      1 files (  0.9%)
   JSXNamespacedName                          1 ( 0.00%) in      1 files (  0.9%)
   DoWhileStatement                           1 ( 0.00%) in      1 files (  0.9%)

📁 FILE EXAMPLES BY NODE TYPE:

   Identifier:
     📄 Files WITH Identifier (showing 10):
       • packages/test-integration/test-imports.mjs
       • packages/test-integration/babel.config.cjs
       • packages/babel-preset-solid/test.js
       • packages/babel-preset-solid/index.js
       • packages/solid/vite.config.mjs
       • packages/solid/rollup.config.js
       • packages/solid/babel.config.cjs
       • packages/test-integration/tests/downloaded.spec.ts
       • packages/solid-ssr/static/writeToDisk.js
       • packages/solid-ssr/static/writeToDisk.cjs
     📄 Files WITHOUT Identifier (showing 10):
       • packages/solid/jsx-runtime.d.ts
       • packages/solid/bench/bench.cjs
       • packages/solid-ssr/examples/stream/index.js
       • packages/solid-ssr/examples/ssg/index.js
       • packages/solid-ssr/examples/async/index.js
       • packages/solid-ssr/examples/ssr/index.js
       • packages/solid/web/server/server.ts
       • packages/solid/web/src/client.ts
       • packages/solid/universal/src/universal.ts
       • packages/solid/html/src/lit.ts

   CallExpression:
     📄 Files WITH CallExpression (showing 10):
       • packages/test-integration/test-imports.mjs
       • packages/babel-preset-solid/test.js
       • packages/babel-preset-solid/index.js
       • packages/solid/vite.config.mjs
       • packages/solid/rollup.config.js
       • packages/solid/babel.config.cjs
       • packages/test-integration/tests/downloaded.spec.ts
       • packages/solid-ssr/static/writeToDisk.js
       • packages/solid-ssr/static/writeToDisk.cjs
       • packages/solid-ssr/static/index.js
     📄 Files WITHOUT CallExpression (showing 10):
       • packages/test-integration/babel.config.cjs
       • packages/solid/jsx-runtime.d.ts
       • packages/solid-ssr/static/index.d.ts
       • packages/solid/bench/bench.cjs
       • packages/solid-ssr/examples/stream/index.js
       • packages/solid-ssr/examples/ssg/index.js
       • packages/solid-ssr/examples/async/index.js
       • packages/solid-ssr/examples/ssr/index.js
       • packages/solid/web/server/server.ts
       • packages/solid/web/src/jsx.ts

   Literal:
     📄 Files WITH Literal (showing 10):
       • packages/test-integration/test-imports.mjs
       • packages/test-integration/babel.config.cjs
       • packages/babel-preset-solid/test.js
       • packages/babel-preset-solid/index.js
       • packages/solid/vite.config.mjs
       • packages/solid/rollup.config.js
       • packages/solid/jsx-runtime.d.ts
       • packages/solid/babel.config.cjs
       • packages/test-integration/tests/downloaded.spec.ts
       • packages/solid-ssr/static/writeToDisk.js
     📄 Files WITHOUT Literal (showing 10):
       • packages/solid-ssr/static/index.d.ts
       • packages/solid/bench/bench.cjs
       • packages/solid-ssr/examples/stream/index.js
       • packages/solid-ssr/examples/ssg/index.js
       • packages/solid-ssr/examples/async/index.js
       • packages/solid-ssr/examples/ssr/index.js
       • packages/solid/web/src/server-mock.ts
       • packages/solid-ssr/examples/shared/src/router.js
       • packages/solid-ssr/examples/shared/src/index.js
       • packages/solid-ssr/examples/shared/src/components/Settings.js

   MemberExpression:
     📄 Files WITH MemberExpression (showing 10):
       • packages/test-integration/test-imports.mjs
       • packages/test-integration/babel.config.cjs
       • packages/babel-preset-solid/test.js
       • packages/babel-preset-solid/index.js
       • packages/solid/rollup.config.js
       • packages/solid/babel.config.cjs
       • packages/test-integration/tests/downloaded.spec.ts
       • packages/solid-ssr/static/writeToDisk.js
       • packages/solid-ssr/static/writeToDisk.cjs
       • packages/solid-ssr/static/index.js
     📄 Files WITHOUT MemberExpression (showing 10):
       • packages/solid/vite.config.mjs
       • packages/solid/jsx-runtime.d.ts
       • packages/solid-ssr/static/index.d.ts
       • packages/solid/bench/bench.cjs
       • packages/solid-ssr/examples/stream/rollup.config.js
       • packages/solid-ssr/examples/stream/index.js
       • packages/solid-ssr/examples/ssg/rollup.config.js
       • packages/solid-ssr/examples/ssg/index.js
       • packages/solid-ssr/examples/async/rollup.config.js
       • packages/solid-ssr/examples/async/index.js

   ExpressionStatement:
     📄 Files WITH ExpressionStatement (showing 10):
       • packages/test-integration/test-imports.mjs
       • packages/test-integration/babel.config.cjs
       • packages/babel-preset-solid/test.js
       • packages/babel-preset-solid/index.js
       • packages/solid/babel.config.cjs
       • packages/test-integration/tests/downloaded.spec.ts
       • packages/solid-ssr/static/writeToDisk.js
       • packages/solid-ssr/static/writeToDisk.cjs
       • packages/solid-ssr/static/index.js
       • packages/solid-ssr/static/index.cjs
     📄 Files WITHOUT ExpressionStatement (showing 10):
       • packages/solid/vite.config.mjs
       • packages/solid/rollup.config.js
       • packages/solid/jsx-runtime.d.ts
       • packages/solid-ssr/static/index.d.ts
       • packages/solid/test/resource.type-tests.ts
       • packages/solid/bench/bench.cjs
       • packages/solid-ssr/examples/stream/rollup.config.js
       • packages/solid-ssr/examples/stream/index.js
       • packages/solid-ssr/examples/ssg/rollup.config.js
       • packages/solid-ssr/examples/ssg/index.js

   TSTypeReference:
     📄 Files WITH TSTypeReference (showing 10):
       • packages/test-integration/tests/downloaded.spec.ts
       • packages/solid-ssr/static/index.d.ts
       • packages/solid-element/src/index.ts
       • packages/solid/src/index.ts
       • packages/solid/test/signals.type-tests.ts
       • packages/solid/test/signals.spec.ts
       • packages/solid/test/signals.memo.spec.ts
       • packages/solid/test/resource.type-tests.ts
       • packages/solid/test/resource.spec.ts
       • packages/solid/test/external-source.spec.ts
     📄 Files WITHOUT TSTypeReference (showing 10):
       • packages/test-integration/test-imports.mjs
       • packages/test-integration/babel.config.cjs
       • packages/babel-preset-solid/test.js
       • packages/babel-preset-solid/index.js
       • packages/solid/vite.config.mjs
       • packages/solid/rollup.config.js
       • packages/solid/jsx-runtime.d.ts
       • packages/solid/babel.config.cjs
       • packages/solid-ssr/static/writeToDisk.js
       • packages/solid-ssr/static/writeToDisk.cjs

   BlockStatement:
     📄 Files WITH BlockStatement (showing 10):
       • packages/test-integration/test-imports.mjs
       • packages/babel-preset-solid/index.js
       • packages/test-integration/tests/downloaded.spec.ts
       • packages/solid-ssr/static/writeToDisk.js
       • packages/solid-ssr/static/writeToDisk.cjs
       • packages/solid-ssr/static/index.js
       • packages/solid-ssr/static/index.cjs
       • packages/solid-element/src/index.ts
       • packages/solid/src/index.ts
       • packages/solid/test/signals.type-tests.ts
     📄 Files WITHOUT BlockStatement (showing 10):
       • packages/test-integration/babel.config.cjs
       • packages/babel-preset-solid/test.js
       • packages/solid/vite.config.mjs
       • packages/solid/rollup.config.js
       • packages/solid/jsx-runtime.d.ts
       • packages/solid/babel.config.cjs
       • packages/solid-ssr/static/index.d.ts
       • packages/solid/bench/bench.cjs
       • packages/solid-ssr/examples/stream/rollup.config.js
       • packages/solid-ssr/examples/stream/index.js

   TSTypeAnnotation:
     📄 Files WITH TSTypeAnnotation (showing 10):
       • packages/test-integration/tests/downloaded.spec.ts
       • packages/solid-ssr/static/index.d.ts
       • packages/solid-element/src/index.ts
       • packages/solid/src/index.ts
       • packages/solid/test/signals.type-tests.ts
       • packages/solid/test/signals.spec.ts
       • packages/solid/test/signals.memo.spec.ts
       • packages/solid/test/resource.type-tests.ts
       • packages/solid/test/resource.spec.ts
       • packages/solid/test/observable.spec.ts
     📄 Files WITHOUT TSTypeAnnotation (showing 10):
       • packages/test-integration/test-imports.mjs
       • packages/test-integration/babel.config.cjs
       • packages/babel-preset-solid/test.js
       • packages/babel-preset-solid/index.js
       • packages/solid/vite.config.mjs
       • packages/solid/rollup.config.js
       • packages/solid/jsx-runtime.d.ts
       • packages/solid/babel.config.cjs
       • packages/solid-ssr/static/writeToDisk.js
       • packages/solid-ssr/static/writeToDisk.cjs

   VariableDeclarator:
     📄 Files WITH VariableDeclarator (showing 10):
       • packages/babel-preset-solid/test.js
       • packages/babel-preset-solid/index.js
       • packages/solid/vite.config.mjs
       • packages/solid/rollup.config.js
       • packages/solid/babel.config.cjs
       • packages/test-integration/tests/downloaded.spec.ts
       • packages/solid-ssr/static/writeToDisk.js
       • packages/solid-ssr/static/writeToDisk.cjs
       • packages/solid-ssr/static/index.js
       • packages/solid-ssr/static/index.cjs
     📄 Files WITHOUT VariableDeclarator (showing 10):
       • packages/test-integration/test-imports.mjs
       • packages/test-integration/babel.config.cjs
       • packages/solid/jsx-runtime.d.ts
